metric,cell,x_events,y_denominator,ratio,source_file,source_columns
session_deadline_violations,"p=1e-3, loss-blind q=7",0,1440,0.0,results/ns3_e1/e2_admission_variants.csv,"dg_violations/admitted_sessions (row per=0.001, A_loss_blind)"
session_deadline_violations,"p=1e-3, q_wc=19 cap 2",0,1440,0.0,results/ns3_e1/e2_admission_variants.csv,"dg_violations/admitted_sessions (row per=0.001, C_q_wc)"
retry_cap_failures,"p=1e-3, q_wc=19 cap 2",0,1440,0.0,results/ns3_e1/e2_admission_variants.csv,"cap_failures/admitted_sessions (row per=0.001, C_q_wc)"
session_deadline_violations,"p=1e-2, loss-blind q=7",3,1440,0.00208333,results/ns3_e1/e2_admission_variants.csv,"dg_violations/admitted_sessions (row per=0.01, A_loss_blind)"
session_deadline_violations,"p=1e-2, q_wc=25 cap 3",0,1440,0.0,results/ns3_e1/e2_admission_variants.csv,"dg_violations/admitted_sessions (row per=0.01, C_q_wc)"
retry_cap_failures,"p=1e-2, q_wc=25 cap 3",0,1440,0.0,results/ns3_e1/e2_admission_variants.csv,"cap_failures/admitted_sessions (row per=0.01, C_q_wc)"
session_deadline_violations,"p=0.03, loss-blind q=7",28,1440,0.01944444,results/ns3_e1/e2_admission_variants.csv,"dg_violations/admitted_sessions (row per=0.03, A_diagnostic)"
session_deadline_violations,"p=0.05, loss-blind q=7",86,1440,0.05972222,results/ns3_e1/e2_admission_variants.csv,"dg_violations/admitted_sessions (row per=0.05, A_diagnostic)"
session_deadline_violations,"p=0.1, loss-blind q=7",280,1440,0.19444444,results/ns3_e1/e2_admission_variants.csv,"dg_violations/admitted_sessions (row per=0.1, A_diagnostic)"
dc_miss_residual_max,"gap-aware, N0=30 K=20, p=1e-3",8,88479,9.04e-05,results/ns3_e1/e4_policy_counts.csv,"dc_misses/dc_ev_cycles (matches committed rate 9e-05)"
dc_miss_residual_2nd,"gap-aware, N0=15 K=35, p=1e-3",7,83380,8.4e-05,results/ns3_e1/e4_policy_counts.csv,"dc_misses/dc_ev_cycles; all 18 gap-aware cells <= 9.04e-05"
severe_link_dg_violations_count_based,"N0=10 K=16, half GOOD/half SEVERE, SEVERE PER=1e-2, 20 seeds",50,160,0.3125,results/ns3_e1/g3b_link_aware.csv,"sum(dg_severe)/sum(admitted_severe) over variant=count"
severe_link_dg_violations_link_aware,"N0=10 K=16, half GOOD/half SEVERE, SEVERE PER=1e-2, 20 seeds",7,160,0.04375,results/ns3_e1/g3b_link_aware.csv,"sum(dg_severe)/sum(admitted_severe) over variant=link_aware"
link_aware_improvement_factor,"50/160 vs 7/160",50 vs 7,160,7.1429,results/ns3_e1/g3b_link_aware.csv,"(50/160)/(7/160); paper rounds to 7.1x"
dc_miss_burst_worst,"(37,1), G-E sojourn=3 per_bad=0.05, marginal PER fixed",779,10000,0.0779,results/ns3_e1/g3c_burst_sensitivity.csv,"miss_cycles/total_cycles"
dc_miss_iid_baseline_same_engine,"(37,1), i.i.d. p_slot=6.7e-5, cycle-level accounting",814,10000,0.0814,results/ns3_e1/g3i_iid_baseline.csv,"trackc-g3 --mode=i --seeds=20; same cell loop and accounting as mode=c"
dc_miss_burst_vs_iid_max_ratio,"(36,1), G-E sojourn=300 per_bad=0.05, marginal PER fixed, unified accounting",163 vs 2,10000,81.5,results/ns3_e1/g3_burst_vs_iid.csv,"(miss_burst/total)/(miss_iid/total), max over 156 rows with defined ratio; 30 rows are iid 0 → burst > 0 (ratio inf), see csv"
