N,condA_gap_aware_max_k,condA_gap_oblivious_max_k,condB_max_k,decision_gap_aware,decision_gap_oblivious,identical
0,53,42,38,38,38,1
1,52,41,37,37,37,1
2,51,40,36,36,36,1
3,49,39,35,35,35,1
4,48,38,34,34,34,1
5,46,38,33,33,33,1
6,45,37,32,32,32,1
7,44,36,31,31,31,1
8,42,35,30,30,30,1
9,41,34,29,29,29,1
10,39,33,28,28,28,1
11,38,33,27,27,27,1
12,36,32,26,26,26,1
13,35,31,25,25,25,1
14,33,30,24,24,24,1
15,32,29,23,23,23,1
16,31,28,22,22,22,1
17,29,28,21,21,21,1
18,28,27,20,20,20,1
19,26,26,19,19,19,1
20,25,25,18,18,18,1
21,23,23,17,17,17,1
22,22,22,16,16,16,1
23,21,21,15,15,15,1
24,19,19,14,14,14,1
25,18,18,13,13,13,1
26,16,16,12,12,12,1
27,15,15,11,11,11,1
28,13,13,10,10,10,1
29,12,12,9,9,9,1
30,10,10,8,8,8,1
31,9,9,7,7,7,1
32,8,8,6,6,6,1
33,6,6,5,5,5,1
34,5,5,4,4,4,1
35,3,3,3,3,3,1
36,2,2,2,2,2,1
37,0,0,1,0,0,1
38,-1,-1,0,-1,-1,1
