N,K,regime,finish,slack,auth_span,hidden_len,overflow_len
0,0,setup_only,0,1395,0,0,0
0,1,setup_only,49,1346,28,0,0
0,2,setup_only,56,1339,35,0,0
0,3,setup_only,63,1332,42,0,0
0,4,setup_only,70,1325,49,0,0
0,5,setup_only,77,1318,56,0,0
0,6,setup_only,84,1311,63,0,0
0,7,setup_only,91,1304,70,0,0
0,8,setup_only,98,1297,77,0,0
0,9,setup_only,105,1290,84,0,0
0,10,setup_only,112,1283,91,0,0
0,11,setup_only,119,1276,98,0,0
0,12,setup_only,126,1269,105,0,0
0,13,setup_only,133,1262,112,0,0
0,14,setup_only,140,1255,119,0,0
0,15,setup_only,147,1248,126,0,0
0,16,setup_only,154,1241,133,0,0
0,17,setup_only,161,1234,140,0,0
0,18,setup_only,168,1227,147,0,0
0,19,setup_only,175,1220,154,0,0
0,20,setup_only,182,1213,161,0,0
1,0,hidden,337,1058,0,0,0
1,1,hidden,337,1058,28,28,0
1,2,hidden,337,1058,35,35,0
1,3,hidden,337,1058,42,42,0
1,4,hidden,337,1058,49,49,0
1,5,hidden,337,1058,56,56,0
1,6,hidden,337,1058,63,63,0
1,7,hidden,337,1058,70,70,0
1,8,hidden,337,1058,77,77,0
1,9,hidden,337,1058,84,84,0
1,10,hidden,337,1058,91,91,0
1,11,hidden,337,1058,98,98,0
1,12,hidden,337,1058,105,105,0
1,13,hidden,337,1058,112,112,0
1,14,hidden,337,1058,119,119,0
1,15,hidden,337,1058,126,126,0
1,16,hidden,337,1058,133,133,0
1,17,hidden,337,1058,140,140,0
1,18,hidden,337,1058,147,147,0
1,19,hidden,337,1058,154,154,0
1,20,hidden,337,1058,161,161,0
2,0,hidden,358,1037,0,0,0
2,1,hidden,358,1037,28,28,0
2,2,hidden,358,1037,35,35,0
2,3,hidden,358,1037,42,42,0
2,4,hidden,358,1037,49,49,0
2,5,hidden,358,1037,56,56,0
2,6,hidden,358,1037,63,63,0
2,7,hidden,358,1037,70,70,0
2,8,hidden,358,1037,77,77,0
2,9,hidden,358,1037,84,84,0
2,10,hidden,358,1037,91,91,0
2,11,hidden,358,1037,98,98,0
2,12,hidden,358,1037,105,105,0
2,13,hidden,358,1037,112,112,0
2,14,hidden,358,1037,119,119,0
2,15,hidden,358,1037,126,126,0
2,16,hidden,358,1037,133,133,0
2,17,hidden,358,1037,140,140,0
2,18,hidden,358,1037,147,147,0
2,19,hidden,358,1037,154,154,0
2,20,hidden,358,1037,161,161,0
3,0,hidden,379,1016,0,0,0
3,1,hidden,379,1016,28,28,0
3,2,hidden,379,1016,35,35,0
3,3,hidden,379,1016,42,42,0
3,4,hidden,379,1016,49,49,0
3,5,hidden,379,1016,56,56,0
3,6,hidden,379,1016,63,63,0
3,7,hidden,379,1016,70,70,0
3,8,hidden,379,1016,77,77,0
3,9,hidden,379,1016,84,84,0
3,10,hidden,379,1016,91,91,0
3,11,hidden,379,1016,98,98,0
3,12,hidden,379,1016,105,105,0
3,13,hidden,379,1016,112,112,0
3,14,hidden,379,1016,119,119,0
3,15,hidden,379,1016,126,126,0
3,16,hidden,379,1016,133,133,0
3,17,hidden,379,1016,140,140,0
3,18,hidden,379,1016,147,147,0
3,19,hidden,379,1016,154,154,0
3,20,hidden,379,1016,161,161,0
4,0,hidden,400,995,0,0,0
4,1,hidden,400,995,28,28,0
4,2,hidden,400,995,35,35,0
4,3,hidden,400,995,42,42,0
4,4,hidden,400,995,49,49,0
4,5,hidden,400,995,56,56,0
4,6,hidden,400,995,63,63,0
4,7,hidden,400,995,70,70,0
4,8,hidden,400,995,77,77,0
4,9,hidden,400,995,84,84,0
4,10,hidden,400,995,91,91,0
4,11,hidden,400,995,98,98,0
4,12,hidden,400,995,105,105,0
4,13,hidden,400,995,112,112,0
4,14,hidden,400,995,119,119,0
4,15,hidden,400,995,126,126,0
4,16,hidden,400,995,133,133,0
4,17,hidden,400,995,140,140,0
4,18,hidden,400,995,147,147,0
4,19,hidden,400,995,154,154,0
4,20,hidden,400,995,161,161,0
5,0,hidden,421,974,0,0,0
5,1,hidden,421,974,28,28,0
5,2,hidden,421,974,35,35,0
5,3,hidden,421,974,42,42,0
5,4,hidden,421,974,49,49,0
5,5,hidden,421,974,56,56,0
5,6,hidden,421,974,63,63,0
5,7,hidden,421,974,70,70,0
5,8,hidden,421,974,77,77,0
5,9,hidden,421,974,84,84,0
5,10,hidden,421,974,91,91,0
5,11,hidden,421,974,98,98,0
5,12,hidden,421,974,105,105,0
5,13,hidden,421,974,112,112,0
5,14,hidden,421,974,119,119,0
5,15,hidden,421,974,126,126,0
5,16,hidden,421,974,133,133,0
5,17,hidden,421,974,140,140,0
5,18,hidden,421,974,147,147,0
5,19,hidden,421,974,154,154,0
5,20,hidden,421,974,161,161,0
6,0,hidden,442,953,0,0,0
6,1,hidden,442,953,28,28,0
6,2,hidden,442,953,35,35,0
6,3,hidden,442,953,42,42,0
6,4,hidden,442,953,49,49,0
6,5,hidden,442,953,56,56,0
6,6,hidden,442,953,63,63,0
6,7,hidden,442,953,70,70,0
6,8,hidden,442,953,77,77,0
6,9,hidden,442,953,84,84,0
6,10,hidden,442,953,91,91,0
6,11,hidden,442,953,98,98,0
6,12,hidden,442,953,105,105,0
6,13,hidden,442,953,112,112,0
6,14,hidden,442,953,119,119,0
6,15,hidden,442,953,126,126,0
6,16,hidden,442,953,133,133,0
6,17,hidden,442,953,140,140,0
6,18,hidden,442,953,147,147,0
6,19,hidden,442,953,154,154,0
6,20,hidden,442,953,161,161,0
7,0,hidden,463,932,0,0,0
7,1,hidden,463,932,28,28,0
7,2,hidden,463,932,35,35,0
7,3,hidden,463,932,42,42,0
7,4,hidden,463,932,49,49,0
7,5,hidden,463,932,56,56,0
7,6,hidden,463,932,63,63,0
7,7,hidden,463,932,70,70,0
7,8,hidden,463,932,77,77,0
7,9,hidden,463,932,84,84,0
7,10,hidden,463,932,91,91,0
7,11,hidden,463,932,98,98,0
7,12,hidden,463,932,105,105,0
7,13,hidden,463,932,112,112,0
7,14,hidden,463,932,119,119,0
7,15,hidden,463,932,126,126,0
7,16,hidden,463,932,133,133,0
7,17,hidden,463,932,140,140,0
7,18,hidden,463,932,147,147,0
7,19,hidden,463,932,154,154,0
7,20,hidden,463,932,161,161,0
8,0,hidden,484,911,0,0,0
8,1,hidden,484,911,28,28,0
8,2,hidden,484,911,35,35,0
8,3,hidden,484,911,42,42,0
8,4,hidden,484,911,49,49,0
8,5,hidden,484,911,56,56,0
8,6,hidden,484,911,63,63,0
8,7,hidden,484,911,70,70,0
8,8,hidden,484,911,77,77,0
8,9,hidden,484,911,84,84,0
8,10,hidden,484,911,91,91,0
8,11,hidden,484,911,98,98,0
8,12,hidden,484,911,105,105,0
8,13,hidden,484,911,112,112,0
8,14,hidden,484,911,119,119,0
8,15,hidden,484,911,126,126,0
8,16,hidden,484,911,133,133,0
8,17,hidden,484,911,140,140,0
8,18,hidden,484,911,147,147,0
8,19,hidden,484,911,154,154,0
8,20,hidden,484,911,161,161,0
9,0,hidden,505,890,0,0,0
9,1,hidden,505,890,28,28,0
9,2,hidden,505,890,35,35,0
9,3,hidden,505,890,42,42,0
9,4,hidden,505,890,49,49,0
9,5,hidden,505,890,56,56,0
9,6,hidden,505,890,63,63,0
9,7,hidden,505,890,70,70,0
9,8,hidden,505,890,77,77,0
9,9,hidden,505,890,84,84,0
9,10,hidden,505,890,91,91,0
9,11,hidden,505,890,98,98,0
9,12,hidden,505,890,105,105,0
9,13,hidden,505,890,112,112,0
9,14,hidden,505,890,119,119,0
9,15,hidden,505,890,126,126,0
9,16,hidden,505,890,133,133,0
9,17,hidden,505,890,140,140,0
9,18,hidden,505,890,147,147,0
9,19,hidden,505,890,154,154,0
9,20,paid,506,889,161,160,1
10,0,hidden,526,869,0,0,0
10,1,hidden,526,869,28,28,0
10,2,hidden,526,869,35,35,0
10,3,hidden,526,869,42,42,0
10,4,hidden,526,869,49,49,0
10,5,hidden,526,869,56,56,0
10,6,hidden,526,869,63,63,0
10,7,hidden,526,869,70,70,0
10,8,hidden,526,869,77,77,0
10,9,hidden,526,869,84,84,0
10,10,hidden,526,869,91,91,0
10,11,hidden,526,869,98,98,0
10,12,hidden,526,869,105,105,0
10,13,hidden,526,869,112,112,0
10,14,hidden,526,869,119,119,0
10,15,hidden,526,869,126,126,0
10,16,hidden,526,869,133,133,0
10,17,hidden,526,869,140,140,0
10,18,paid,528,867,147,145,2
10,19,paid,535,860,154,145,9
10,20,paid,542,853,161,145,16
11,0,hidden,547,848,0,0,0
11,1,hidden,547,848,28,28,0
11,2,hidden,547,848,35,35,0
11,3,hidden,547,848,42,42,0
11,4,hidden,547,848,49,49,0
11,5,hidden,547,848,56,56,0
11,6,hidden,547,848,63,63,0
11,7,hidden,547,848,70,70,0
11,8,hidden,547,848,77,77,0
11,9,hidden,547,848,84,84,0
11,10,hidden,547,848,91,91,0
11,11,hidden,547,848,98,98,0
11,12,hidden,547,848,105,105,0
11,13,hidden,547,848,112,112,0
11,14,hidden,547,848,119,119,0
11,15,hidden,547,848,126,126,0
11,16,paid,550,845,133,130,3
11,17,paid,557,838,140,130,10
11,18,paid,564,831,147,130,17
11,19,paid,571,824,154,130,24
11,20,paid,578,817,161,130,31
12,0,hidden,568,827,0,0,0
12,1,hidden,568,827,28,28,0
12,2,hidden,568,827,35,35,0
12,3,hidden,568,827,42,42,0
12,4,hidden,568,827,49,49,0
12,5,hidden,568,827,56,56,0
12,6,hidden,568,827,63,63,0
12,7,hidden,568,827,70,70,0
12,8,hidden,568,827,77,77,0
12,9,hidden,568,827,84,84,0
12,10,hidden,568,827,91,91,0
12,11,hidden,568,827,98,98,0
12,12,hidden,568,827,105,105,0
12,13,hidden,568,827,112,112,0
12,14,paid,572,823,119,115,4
12,15,paid,579,816,126,115,11
12,16,paid,586,809,133,115,18
12,17,paid,593,802,140,115,25
12,18,paid,600,795,147,115,32
12,19,paid,607,788,154,115,39
12,20,paid,614,781,161,115,46
13,0,hidden,589,806,0,0,0
13,1,hidden,589,806,28,28,0
13,2,hidden,589,806,35,35,0
13,3,hidden,589,806,42,42,0
13,4,hidden,589,806,49,49,0
13,5,hidden,589,806,56,56,0
13,6,hidden,589,806,63,63,0
13,7,hidden,589,806,70,70,0
13,8,hidden,589,806,77,77,0
13,9,hidden,589,806,84,84,0
13,10,hidden,589,806,91,91,0
13,11,hidden,589,806,98,98,0
13,12,paid,594,801,105,100,5
13,13,paid,601,794,112,100,12
13,14,paid,608,787,119,100,19
13,15,paid,615,780,126,100,26
13,16,paid,622,773,133,100,33
13,17,paid,629,766,140,100,40
13,18,paid,636,759,147,100,47
13,19,paid,643,752,154,100,54
13,20,paid,650,745,161,100,61
14,0,hidden,610,785,0,0,0
14,1,hidden,610,785,28,28,0
14,2,hidden,610,785,35,35,0
14,3,hidden,610,785,42,42,0
14,4,hidden,610,785,49,49,0
14,5,hidden,610,785,56,56,0
14,6,hidden,610,785,63,63,0
14,7,hidden,610,785,70,70,0
14,8,hidden,610,785,77,77,0
14,9,hidden,610,785,84,84,0
14,10,paid,616,779,91,85,6
14,11,paid,623,772,98,85,13
14,12,paid,630,765,105,85,20
14,13,paid,637,758,112,85,27
14,14,paid,644,751,119,85,34
14,15,paid,651,744,126,85,41
14,16,paid,658,737,133,85,48
14,17,paid,665,730,140,85,55
14,18,paid,672,723,147,85,62
14,19,paid,679,716,154,85,69
14,20,paid,686,709,161,85,76
15,0,hidden,631,764,0,0,0
15,1,hidden,631,764,28,28,0
15,2,hidden,631,764,35,35,0
15,3,hidden,631,764,42,42,0
15,4,hidden,631,764,49,49,0
15,5,hidden,631,764,56,56,0
15,6,hidden,631,764,63,63,0
15,7,hidden,631,764,70,70,0
15,8,paid,638,757,77,70,7
15,9,paid,645,750,84,70,14
15,10,paid,652,743,91,70,21
15,11,paid,659,736,98,70,28
15,12,paid,666,729,105,70,35
15,13,paid,673,722,112,70,42
15,14,paid,680,715,119,70,49
15,15,paid,687,708,126,70,56
15,16,paid,694,701,133,70,63
15,17,paid,701,694,140,70,70
15,18,paid,708,687,147,70,77
15,19,paid,715,680,154,70,84
15,20,paid,722,673,161,70,91
16,0,hidden,652,743,0,0,0
16,1,hidden,652,743,28,28,0
16,2,hidden,652,743,35,35,0
16,3,hidden,652,743,42,42,0
16,4,hidden,652,743,49,49,0
16,5,paid,653,742,56,55,1
16,6,paid,660,735,63,55,8
16,7,paid,667,728,70,55,15
16,8,paid,674,721,77,55,22
16,9,paid,681,714,84,55,29
16,10,paid,688,707,91,55,36
16,11,paid,695,700,98,55,43
16,12,paid,702,693,105,55,50
16,13,paid,709,686,112,55,57
16,14,paid,716,679,119,55,64
16,15,paid,723,672,126,55,71
16,16,paid,730,665,133,55,78
16,17,paid,737,658,140,55,85
16,18,paid,744,651,147,55,92
16,19,paid,751,644,154,55,99
16,20,paid,758,637,161,55,106
17,0,hidden,673,722,0,0,0
17,1,hidden,673,722,28,28,0
17,2,hidden,673,722,35,35,0
17,3,paid,675,720,42,40,2
17,4,paid,682,713,49,40,9
17,5,paid,689,706,56,40,16
