N,K,delta,delta_pred,match
1,1,0,0,1
2,1,0,0,1
3,1,0,0,1
4,1,0,0,1
5,1,0,0,1
6,1,0,0,1
7,1,0,0,1
8,1,0,0,1
9,1,0,0,1
10,1,0,0,1
11,1,0,0,1
12,1,0,0,1
13,1,0,0,1
14,1,0,0,1
15,1,0,0,1
16,1,0,0,1
17,1,0,0,1
18,1,3,3,1
19,1,18,18,1
20,1,28,28,1
21,1,28,28,1
22,1,28,28,1
23,1,28,28,1
24,1,28,28,1
25,1,28,28,1
26,1,28,28,1
27,1,28,28,1
28,1,28,28,1
29,1,28,28,1
30,1,28,28,1
31,1,28,28,1
32,1,28,28,1
33,1,28,28,1
34,1,28,28,1
35,1,28,28,1
36,1,28,28,1
37,1,28,28,1
38,1,28,28,1
39,1,28,28,1
40,1,28,28,1
1,4,0,0,1
2,4,0,0,1
3,4,0,0,1
4,4,0,0,1
5,4,0,0,1
6,4,0,0,1
7,4,0,0,1
8,4,0,0,1
9,4,0,0,1
10,4,0,0,1
11,4,0,0,1
12,4,0,0,1
13,4,0,0,1
14,4,0,0,1
15,4,0,0,1
16,4,0,0,1
17,4,9,9,1
18,4,24,24,1
19,4,39,39,1
20,4,49,49,1
21,4,49,49,1
22,4,49,49,1
23,4,49,49,1
24,4,49,49,1
25,4,49,49,1
26,4,49,49,1
27,4,49,49,1
28,4,49,49,1
29,4,49,49,1
30,4,49,49,1
31,4,49,49,1
32,4,49,49,1
33,4,49,49,1
34,4,49,49,1
35,4,49,49,1
36,4,49,49,1
37,4,49,49,1
38,4,49,49,1
39,4,49,49,1
40,4,49,49,1
1,8,0,0,1
2,8,0,0,1
3,8,0,0,1
4,8,0,0,1
5,8,0,0,1
6,8,0,0,1
7,8,0,0,1
8,8,0,0,1
9,8,0,0,1
10,8,0,0,1
11,8,0,0,1
12,8,0,0,1
13,8,0,0,1
14,8,0,0,1
15,8,7,7,1
16,8,22,22,1
17,8,37,37,1
18,8,52,52,1
19,8,67,67,1
20,8,77,77,1
21,8,77,77,1
22,8,77,77,1
23,8,77,77,1
24,8,77,77,1
25,8,77,77,1
26,8,77,77,1
27,8,77,77,1
28,8,77,77,1
29,8,77,77,1
30,8,77,77,1
31,8,77,77,1
32,8,77,77,1
33,8,77,77,1
34,8,77,77,1
35,8,77,77,1
36,8,77,77,1
37,8,77,77,1
38,8,77,77,1
39,8,77,77,1
40,8,77,77,1
1,16,0,0,1
2,16,0,0,1
3,16,0,0,1
4,16,0,0,1
5,16,0,0,1
6,16,0,0,1
7,16,0,0,1
8,16,0,0,1
9,16,0,0,1
10,16,0,0,1
11,16,3,3,1
12,16,18,18,1
13,16,33,33,1
14,16,48,48,1
15,16,63,63,1
16,16,78,78,1
17,16,93,93,1
18,16,108,108,1
19,16,123,123,1
20,16,133,133,1
21,16,133,133,1
22,16,133,133,1
23,16,133,133,1
24,16,133,133,1
25,16,133,133,1
26,16,133,133,1
27,16,133,133,1
28,16,133,133,1
29,16,133,133,1
30,16,133,133,1
31,16,133,133,1
32,16,133,133,1
33,16,133,133,1
34,16,133,133,1
35,16,133,133,1
36,16,133,133,1
37,16,133,133,1
38,16,133,133,1
39,16,133,133,1
40,16,133,133,1
