policy,param,N0,K,seed,admitted,never_admitted,wait_sum_cycles,dg_violations,completed,dc_misses,dc_ev_cycles
acbs,25,0,1,1,1,0,0,0,1,0,103
acbs,25,0,1,2,1,0,0,0,1,0,103
acbs,25,0,1,3,1,0,0,0,1,0,103
acbs,25,0,1,4,1,0,0,0,1,0,103
acbs,25,0,1,5,1,0,0,0,1,0,103
acbs,25,0,1,6,1,0,0,0,1,0,103
acbs,25,0,1,7,1,0,0,0,1,0,103
acbs,25,0,1,8,1,0,0,0,1,0,103
acbs,25,0,1,9,1,0,0,0,1,0,103
acbs,25,0,1,10,1,0,0,0,1,0,103
acbs,25,0,1,11,1,0,0,0,1,0,103
acbs,25,0,1,12,1,0,0,0,1,0,103
acbs,25,0,1,13,1,0,0,0,1,0,103
acbs,25,0,1,14,1,0,0,0,1,0,103
acbs,25,0,1,15,1,0,0,0,1,0,103
acbs,25,0,1,16,1,0,0,0,1,0,103
acbs,25,0,1,17,1,0,0,0,1,0,103
acbs,25,0,1,18,1,0,0,0,1,0,103
acbs,25,0,1,19,1,0,0,0,1,0,103
acbs,25,0,1,20,1,0,0,0,1,0,103
acbs,25,0,2,1,2,0,0,0,2,0,206
acbs,25,0,2,2,2,0,0,0,2,0,206
acbs,25,0,2,3,2,0,0,0,2,0,206
acbs,25,0,2,4,2,0,0,0,2,0,206
acbs,25,0,2,5,2,0,0,0,2,0,206
acbs,25,0,2,6,2,0,0,0,2,0,206
acbs,25,0,2,7,2,0,0,0,2,0,206
acbs,25,0,2,8,2,0,0,0,2,0,206
acbs,25,0,2,9,2,0,0,0,2,0,206
acbs,25,0,2,10,2,0,0,0,2,0,206
acbs,25,0,2,11,2,0,0,0,2,0,206
acbs,25,0,2,12,2,0,0,0,2,0,206
acbs,25,0,2,13,2,0,0,0,2,0,206
acbs,25,0,2,14,2,0,0,0,2,0,206
acbs,25,0,2,15,2,0,0,0,2,0,206
acbs,25,0,2,16,2,0,0,0,2,0,206
acbs,25,0,2,17,2,0,0,0,2,0,206
acbs,25,0,2,18,2,0,0,0,2,0,206
acbs,25,0,2,19,2,0,0,0,2,0,206
acbs,25,0,2,20,2,0,0,0,2,0,206
acbs,25,0,5,1,5,0,0,0,5,0,515
acbs,25,0,5,2,5,0,0,0,5,0,515
acbs,25,0,5,3,5,0,0,0,5,0,515
acbs,25,0,5,4,5,0,0,0,5,0,515
acbs,25,0,5,5,5,0,0,0,5,0,515
acbs,25,0,5,6,5,0,0,0,5,0,515
acbs,25,0,5,7,5,0,0,0,5,0,515
acbs,25,0,5,8,5,0,0,0,5,0,515
acbs,25,0,5,9,5,0,0,0,5,0,515
acbs,25,0,5,10,5,0,0,0,5,0,515
acbs,25,0,5,11,5,0,0,0,5,0,515
acbs,25,0,5,12,5,0,0,0,5,0,515
acbs,25,0,5,13,5,0,0,0,5,0,515
acbs,25,0,5,14,5,0,0,0,5,0,515
acbs,25,0,5,15,5,0,0,0,5,0,515
acbs,25,0,5,16,5,0,0,0,5,0,515
acbs,25,0,5,17,5,0,0,0,5,0,515
acbs,25,0,5,18,5,0,0,0,5,0,515
acbs,25,0,5,19,5,0,0,0,5,0,515
acbs,25,0,5,20,5,0,0,0,5,0,515
acbs,25,0,10,1,10,0,0,0,10,0,1030
acbs,25,0,10,2,10,0,0,0,10,0,1030
acbs,25,0,10,3,10,0,0,0,10,0,1030
acbs,25,0,10,4,10,0,0,0,10,0,1030
acbs,25,0,10,5,10,0,0,0,10,0,1030
acbs,25,0,10,6,10,0,0,0,10,0,1030
acbs,25,0,10,7,10,0,0,0,10,0,1030
acbs,25,0,10,8,10,0,0,0,10,0,1030
acbs,25,0,10,9,10,0,0,0,10,0,1030
acbs,25,0,10,10,10,0,0,0,10,0,1030
acbs,25,0,10,11,10,0,0,0,10,0,1030
acbs,25,0,10,12,10,0,0,0,10,0,1030
acbs,25,0,10,13,10,0,0,0,10,0,1030
acbs,25,0,10,14,10,0,0,0,10,0,1030
acbs,25,0,10,15,10,0,0,0,10,0,1030
acbs,25,0,10,16,10,0,0,0,10,0,1030
acbs,25,0,10,17,10,0,0,0,10,0,1030
acbs,25,0,10,18,10,0,0,0,10,0,1030
acbs,25,0,10,19,10,0,0,0,10,0,1030
acbs,25,0,10,20,10,0,0,0,10,0,1030
acbs,25,0,20,1,20,0,0,0,20,0,2060
acbs,25,0,20,2,20,0,0,0,20,0,2060
acbs,25,0,20,3,20,0,0,0,20,0,2060
acbs,25,0,20,4,20,0,0,0,20,0,2060
acbs,25,0,20,5,20,0,0,0,20,0,2060
acbs,25,0,20,6,20,0,0,0,20,0,2060
acbs,25,0,20,7,20,0,0,0,20,0,2060
acbs,25,0,20,8,20,0,0,0,20,0,2060
acbs,25,0,20,9,20,0,0,0,20,0,2060
acbs,25,0,20,10,20,0,0,0,20,0,2059
acbs,25,0,20,11,20,0,0,0,20,0,2060
acbs,25,0,20,12,20,0,0,0,20,0,2060
acbs,25,0,20,13,20,0,0,0,20,0,2060
acbs,25,0,20,14,20,0,0,0,20,0,2060
acbs,25,0,20,15,20,0,0,0,20,0,2060
acbs,25,0,20,16,20,0,0,0,20,0,2060
acbs,25,0,20,17,20,0,0,0,20,0,2060
acbs,25,0,20,18,20,0,0,0,20,0,2060
acbs,25,0,20,19,20,0,0,0,20,0,2060
acbs,25,0,20,20,20,0,0,0,20,0,2060
acbs,25,0,35,1,35,0,0,0,35,0,3605
acbs,25,0,35,2,35,0,0,0,35,0,3605
acbs,25,0,35,3,35,0,0,0,35,0,3605
acbs,25,0,35,4,35,0,0,0,35,0,3605
acbs,25,0,35,5,35,0,0,0,35,0,3605
acbs,25,0,35,6,35,0,0,0,35,0,3604
acbs,25,0,35,7,35,0,0,0,35,0,3605
acbs,25,0,35,8,35,0,0,0,35,0,3605
acbs,25,0,35,9,35,0,0,0,35,0,3605
acbs,25,0,35,10,35,0,0,0,35,0,3604
acbs,25,0,35,11,35,0,0,0,35,0,3605
acbs,25,0,35,12,35,0,0,0,35,0,3605
acbs,25,0,35,13,35,0,0,0,35,0,3605
acbs,25,0,35,14,35,0,0,0,35,0,3605
acbs,25,0,35,15,35,0,0,0,35,0,3605
acbs,25,0,35,16,35,0,0,0,35,0,3605
acbs,25,0,35,17,35,0,0,0,35,0,3605
acbs,25,0,35,18,35,0,0,0,35,0,3605
acbs,25,0,35,19,35,0,0,0,35,0,3605
acbs,25,0,35,20,35,0,0,0,35,0,3605
acbs,25,15,1,1,1,0,0,0,1,0,1903
acbs,25,15,1,2,1,0,0,0,1,0,1903
acbs,25,15,1,3,1,0,0,0,1,0,1903
acbs,25,15,1,4,1,0,0,0,1,0,1903
acbs,25,15,1,5,1,0,0,0,1,0,1903
acbs,25,15,1,6,1,0,0,0,1,0,1903
acbs,25,15,1,7,1,0,0,0,1,0,1903
acbs,25,15,1,8,1,0,0,0,1,0,1903
acbs,25,15,1,9,1,0,0,0,1,0,1903
acbs,25,15,1,10,1,0,0,0,1,0,1903
acbs,25,15,1,11,1,0,0,0,1,0,1903
acbs,25,15,1,12,1,0,0,0,1,0,1903
acbs,25,15,1,13,1,0,0,0,1,0,1903
acbs,25,15,1,14,1,0,0,0,1,0,1903
acbs,25,15,1,15,1,0,0,0,1,0,1903
acbs,25,15,1,16,1,0,0,0,1,0,1903
acbs,25,15,1,17,1,0,0,0,1,0,1903
acbs,25,15,1,18,1,0,0,0,1,0,1903
acbs,25,15,1,19,1,0,0,0,1,0,1903
