N0,K,dc_miss_approx,dc_miss_event,diff_pp,dg_approx,dg_event
0,1,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0
0,10,0.0,0.0,0.0,0.0,0.0
0,20,0.00352,0.001942,-0.158,0.0,0.0
0,35,0.970439,0.978754,0.831,0.528571,0.105714
15,1,0.0,0.0,0.0,0.0,0.0
15,2,7.5e-05,2.5e-05,-0.005,0.0,0.0
15,5,0.003456,0.001555,-0.19,0.0,0.0
15,10,0.295464,0.218058,-7.741,0.0,0.0
15,20,0.970721,0.974323,0.36,0.375,0.4
15,35,0.99664,0.982782,-1.386,1.0,0.952857
30,1,0.855814,0.966912,11.11,0.0,0.0
30,2,0.903275,0.973709,7.043,0.0,0.1
30,5,0.970336,0.979454,0.912,0.0,0.56
30,10,0.990086,0.984257,-0.583,0.89,0.895
30,20,0.997582,0.987561,-1.002,1.0,0.9825
30,35,0.999708,0.989295,-1.041,1.0,1.0
