scenario,N,K,rule,stale_ev,overlap_slots,stale_dc_miss_per_cycle,others_affected
admission,5,1,stale_persist,0,0,0,0
admission,5,1,fail_silent,0,0,1,0
completion,5,1,stale_persist,0,0,0,0
completion,5,1,fail_silent,0,0,1,0
admission,5,4,stale_persist,0,0,0,0
admission,5,4,fail_silent,0,0,1,0
completion,5,4,stale_persist,0,0,0,0
completion,5,4,fail_silent,0,0,1,0
admission,5,8,stale_persist,0,0,0,0
admission,5,8,fail_silent,0,0,1,0
completion,5,8,stale_persist,0,0,0,0
completion,5,8,fail_silent,0,0,1,0
admission,20,1,stale_persist,0,7,0,1
admission,20,1,fail_silent,0,0,1,0
completion,20,1,stale_persist,0,13,0,1
completion,20,1,fail_silent,0,0,1,0
admission,20,4,stale_persist,0,7,0,1
admission,20,4,fail_silent,0,0,1,0
completion,20,4,stale_persist,0,8,0,1
completion,20,4,fail_silent,0,0,1,0
admission,20,8,stale_persist,0,7,0,1
admission,20,8,fail_silent,0,0,1,0
completion,20,8,stale_persist,0,8,0,1
completion,20,8,fail_silent,0,0,1,0
admission,35,1,stale_persist,0,7,0,1
admission,35,1,fail_silent,0,0,1,0
completion,35,1,stale_persist,0,13,0,1
completion,35,1,fail_silent,0,0,1,0
admission,35,4,stale_persist,0,7,0,1
admission,35,4,fail_silent,0,0,1,0
completion,35,4,stale_persist,0,8,0,1
completion,35,4,fail_silent,0,0,1,0
admission,35,8,stale_persist,0,7,0,1
admission,35,8,fail_silent,0,0,1,0
completion,35,8,stale_persist,0,8,0,1
completion,35,8,fail_silent,0,0,1,0
