N,K,m,finish,dc_miss
5,1,0,421,0
5,1,1,421,0
5,1,2,421,0
5,1,3,421,0
5,1,4,421,0
5,1,5,421,0
5,4,0,421,0
5,4,1,421,0
5,4,2,421,0
5,4,3,421,0
5,4,4,421,0
5,4,5,421,0
5,8,0,421,0
5,8,1,421,0
5,8,2,421,0
5,8,3,421,0
5,8,4,421,0
5,8,5,421,0
20,1,0,769,0
20,1,1,769,0
20,1,2,769,0
20,1,3,769,0
20,1,4,769,0
20,1,5,769,0
20,4,0,790,0
20,4,1,790,0
20,4,2,790,0
20,4,3,790,0
20,4,4,790,0
20,4,5,790,0
20,8,0,818,0
20,8,1,818,0
20,8,2,818,0
20,8,3,818,0
20,8,4,818,0
20,8,5,818,0
35,1,0,1309,0
35,1,1,1309,0
35,1,2,1309,0
35,1,3,1309,0
35,1,4,1309,0
35,1,5,1309,0
35,4,0,1330,0
35,4,1,1330,0
35,4,2,1330,0
35,4,3,1330,0
35,4,4,1330,0
35,4,5,1330,0
35,8,0,1358,0
35,8,1,1358,0
35,8,2,1358,0
35,8,3,1358,0
35,8,4,1358,0
35,8,5,1358,0
