N0,K,seed,dg_violations,completed,dc_misses,dc_ev_cycles,collisions,drops
30,0,1,0,0,3295,3600,8261,4560
30,0,2,0,0,3272,3600,7802,4183
30,0,3,0,0,3105,3600,6882,3396
30,0,4,0,0,3396,3600,8417,4694
30,0,5,0,0,3428,3600,8789,5024
30,0,6,0,0,3402,3600,8845,5039
30,0,7,0,0,3367,3600,8184,4505
30,0,8,0,0,3370,3600,8619,4809
30,0,9,0,0,3462,3600,8688,4980
30,0,10,0,0,3349,3600,8044,4412
30,0,11,0,0,3491,3600,8965,5189
30,0,12,0,0,3238,3600,7703,4056
30,0,13,0,0,3430,3600,8866,5163
30,0,14,0,0,3312,3600,8078,4415
30,0,15,0,0,3382,3600,8092,4425
30,0,16,0,0,3451,3600,8938,5105
30,0,17,0,0,3502,3600,9058,5261
30,0,18,0,0,3421,3600,8650,4884
30,0,19,0,0,3000,3600,6731,3279
30,0,20,0,0,3345,3600,8281,4569
