policy,N0,K,dc_miss_rate,dg_violation_rate,admit_wait_cycles,never_admitted
hpgp_csma_ca,0,1,0.0,0.0,0.0,0
hpgp_csma_ca,0,2,0.0,0.0,0.0,0
hpgp_csma_ca,0,5,0.0,0.0,0.0,0
hpgp_csma_ca,0,10,0.0,0.0,0.0,0
hpgp_csma_ca,0,20,0.0035926690132297608,0.0,0.0,0
hpgp_csma_ca,0,35,0.9700559685022687,0.4757142857142857,0.0,0
hpgp_csma_ca,15,1,0.0,0.0,0.0,0
hpgp_csma_ca,15,2,7.477567298105683e-05,0.0,0.0,0
hpgp_csma_ca,15,5,0.003390928725701944,0.0,0.0,0
hpgp_csma_ca,15,10,0.2907393986530677,0.0,0.0,0
hpgp_csma_ca,15,20,0.9703362373101015,0.2875,0.0,0
hpgp_csma_ca,15,35,0.9966289429328197,1.0,0.0,0
hpgp_csma_ca,30,1,0.8549223497636732,0.0,0.0,0
hpgp_csma_ca,30,2,0.9034839862795863,0.0,0.0,0
hpgp_csma_ca,30,5,0.9700918083424243,0.0,0.0,0
hpgp_csma_ca,30,10,0.9901758982035929,0.855,0.0,0
hpgp_csma_ca,30,20,0.9975140687319018,1.0,0.0,0
hpgp_csma_ca,30,35,0.9996944444444444,1.0,0.0,0
fixed_10pct,0,1,0.0,0.0,0.0,0
fixed_10pct,0,2,0.0,0.0,0.0,0
fixed_10pct,0,5,0.0,0.0,0.0,0
fixed_10pct,0,10,0.0,0.0,0.0,0
fixed_10pct,0,20,0.0,0.0,0.0,0
fixed_10pct,0,35,0.0,1.0,0.0,0
fixed_10pct,15,1,0.0,0.0,0.0,0
fixed_10pct,15,2,0.0,0.0,0.0,0
fixed_10pct,15,5,0.0,0.0,0.0,0
fixed_10pct,15,10,0.0,0.0,0.0,0
fixed_10pct,15,20,0.0,0.0,0.0,0
fixed_10pct,15,35,0.31191553919617987,1.0,0.0,0
fixed_10pct,30,1,0.0,0.0,0.0,0
fixed_10pct,30,2,0.0,0.0,0.0,0
fixed_10pct,30,5,0.0,0.0,0.0,0
fixed_10pct,30,10,0.06734760051880674,0.0,0.0,0
fixed_10pct,30,20,0.3274044303205907,0.0,0.0,0
fixed_10pct,30,35,0.49077335440971803,1.0,0.0,0
fixed_25pct,0,1,0.0,0.0,0.0,0
fixed_25pct,0,2,0.0,0.0,0.0,0
fixed_25pct,0,5,0.0,0.0,0.0,0
fixed_25pct,0,10,0.0,0.0,0.0,0
fixed_25pct,0,20,0.0,0.0,0.0,0
fixed_25pct,0,35,0.0,0.0,0.0,0
fixed_25pct,15,1,0.0,0.0,0.0,0
fixed_25pct,15,2,0.0,0.0,0.0,0
fixed_25pct,15,5,0.0,0.0,0.0,0
fixed_25pct,15,10,0.0,0.0,0.0,0
fixed_25pct,15,20,0.0,0.0,0.0,0
fixed_25pct,15,35,0.37275111183686016,0.0,0.0,0
fixed_25pct,30,1,0.0,0.0,0.0,0
fixed_25pct,30,2,0.0,0.0,0.0,0
fixed_25pct,30,5,0.0,0.0,0.0,0
fixed_25pct,30,10,0.06771058315334773,0.0,0.0,0
fixed_25pct,30,20,0.36819950477538027,0.0,0.0,0
fixed_25pct,30,35,0.6339088787214755,0.0,0.0,0
fixed_50pct,0,1,0.0,0.0,0.0,0
fixed_50pct,0,2,0.0,0.0,0.0,0
fixed_50pct,0,5,0.0,0.0,0.0,0
fixed_50pct,0,10,0.0,0.0,0.0,0
fixed_50pct,0,20,0.0,0.0,0.0,0
fixed_50pct,0,35,0.0,0.0,0.0,0
fixed_50pct,15,1,0.0,0.0,0.0,0
fixed_50pct,15,2,0.0,0.0,0.0,0
fixed_50pct,15,5,0.0,0.0,0.0,0
fixed_50pct,15,10,0.0,0.0,0.0,0
fixed_50pct,15,20,0.0,0.0,0.0,0
fixed_50pct,15,35,0.38143183986513396,0.0,0.0,0
fixed_50pct,30,1,0.0,0.0,0.0,0
fixed_50pct,30,2,0.0,0.0,0.0,0
fixed_50pct,30,5,0.0,0.0,0.0,0
fixed_50pct,30,10,0.06771058315334773,0.0,0.0,0
fixed_50pct,30,20,0.37167844522968196,0.0,0.0,0
fixed_50pct,30,35,0.6683870519588775,0.0,0.0,0
acbs_qwc25,0,1,0.0,0.0,0.0,0
acbs_qwc25,0,2,0.0,0.0,0.0,0
acbs_qwc25,0,5,0.0,0.0,0.0,0
acbs_qwc25,0,10,0.0,0.0,0.0,0
acbs_qwc25,0,20,0.0,0.0,0.0,0
acbs_qwc25,0,35,0.0,0.0,0.0,0
acbs_qwc25,15,1,0.0,0.0,0.0,0
acbs_qwc25,15,2,0.0,0.0,0.0,0
acbs_qwc25,15,5,0.0,0.0,0.0,0
acbs_qwc25,15,10,0.0,0.0,0.0,0
acbs_qwc25,15,20,0.0,0.0,0.0,0
acbs_qwc25,15,35,7.195970256656273e-05,0.0,41.142857142857146,240
acbs_qwc25,30,1,0.0,0.0,0.0,0
acbs_qwc25,30,2,0.0,0.0,0.0,0
acbs_qwc25,30,5,0.0,0.0,0.0,0
acbs_qwc25,30,10,3.390596745027125e-05,0.0,24.0,40
acbs_qwc25,30,20,9.041591320072333e-05,0.0,72.0,240
acbs_qwc25,30,35,3.390596745027125e-05,0.0,92.57142857142857,540
