policy,N0,K,dc_miss_rate,dg_violation_rate,admit_wait_cycles
acbs_qwc25,0,1,0.0,0.0,0.0
acbs_qwc25,0,2,0.0,0.0,0.0
acbs_qwc25,0,5,0.0,0.0,0.0
acbs_qwc25,0,10,0.0,0.0,0.0
acbs_qwc25,0,20,0.0,0.0,0.0
acbs_qwc25,0,35,0.0,0.0,0.0
acbs_qwc25,15,1,0.0,0.0,0.0
acbs_qwc25,15,2,0.0,0.0,0.0
acbs_qwc25,15,5,0.0,0.0,0.0
acbs_qwc25,15,10,0.0,0.0,0.0
acbs_qwc25,15,20,0.0,0.0,0.0
acbs_qwc25,15,35,7.2e-05,0.0,41.143
acbs_qwc25,30,1,0.0,0.0,0.0
acbs_qwc25,30,2,0.0,0.0,0.0
acbs_qwc25,30,5,0.0,0.0,0.0
acbs_qwc25,30,10,3.4e-05,0.0,24.0
acbs_qwc25,30,20,0.000102,0.0,72.0
acbs_qwc25,30,35,4.5e-05,0.0,92.571
fixed_10pct,0,1,0.0,0.0,0.0
fixed_10pct,0,2,0.0,0.0,0.0
fixed_10pct,0,5,0.0,0.0,0.0
fixed_10pct,0,10,0.0,0.0,0.0
fixed_10pct,0,20,0.0,0.0,0.0
fixed_10pct,0,35,0.0,1.0,0.0
fixed_10pct,15,1,0.0,0.0,0.0
fixed_10pct,15,2,0.0,0.0,0.0
fixed_10pct,15,5,0.0,0.0,0.0
fixed_10pct,15,10,0.0,0.0,0.0
fixed_10pct,15,20,0.0,0.0,0.0
fixed_10pct,15,35,0.769312,1.0,0.0
fixed_10pct,30,1,0.0,0.0,0.0
fixed_10pct,30,2,0.0,0.0,0.0
fixed_10pct,30,5,0.0,0.0,0.0
fixed_10pct,30,10,0.810355,0.0,0.0
fixed_10pct,30,20,0.810001,0.0,0.0
fixed_10pct,30,35,0.706835,1.0,0.0
fixed_25pct,0,1,0.0,0.0,0.0
fixed_25pct,0,2,0.0,0.0,0.0
fixed_25pct,0,5,0.0,0.0,0.0
fixed_25pct,0,10,0.0,0.0,0.0
fixed_25pct,0,20,0.0,0.0,0.0
fixed_25pct,0,35,0.0,0.0,0.0
fixed_25pct,15,1,0.0,0.0,0.0
fixed_25pct,15,2,0.0,0.0,0.0
fixed_25pct,15,5,0.0,0.0,0.0
fixed_25pct,15,10,0.0,0.0,0.0
fixed_25pct,15,20,0.0,0.0,0.0
fixed_25pct,15,35,0.922916,0.0,0.0
fixed_25pct,30,1,0.0,0.0,0.0
fixed_25pct,30,2,0.0,0.0,0.0
fixed_25pct,30,5,0.0,0.0,0.0
fixed_25pct,30,10,0.81743,0.0,0.0
fixed_25pct,30,20,0.919871,0.0,0.0
fixed_25pct,30,35,0.965496,0.0,0.0
fixed_50pct,0,1,0.0,0.0,0.0
fixed_50pct,0,2,0.0,0.0,0.0
fixed_50pct,0,5,0.0,0.0,0.0
fixed_50pct,0,10,0.0,0.0,0.0
fixed_50pct,0,20,0.0,0.0,0.0
fixed_50pct,0,35,0.0,0.0,0.0
fixed_50pct,15,1,0.0,0.0,0.0
fixed_50pct,15,2,0.0,0.0,0.0
fixed_50pct,15,5,0.0,0.0,0.0
fixed_50pct,15,10,0.0,0.0,0.0
fixed_50pct,15,20,0.0,0.0,0.0
fixed_50pct,15,35,0.945035,0.0,0.0
fixed_50pct,30,1,0.0,0.0,0.0
fixed_50pct,30,2,0.0,0.0,0.0
fixed_50pct,30,5,0.0,0.0,0.0
fixed_50pct,30,10,0.81743,0.0,0.0
fixed_50pct,30,20,0.932261,0.0,0.0
fixed_50pct,30,35,0.995325,0.0,0.0
hpgp_csma_ca,0,1,0.0,0.0,0.0
hpgp_csma_ca,0,2,0.0,0.0,0.0
hpgp_csma_ca,0,5,0.0,0.0,0.0
hpgp_csma_ca,0,10,0.0,0.0,0.0
hpgp_csma_ca,0,20,0.002282,0.0,0.0
hpgp_csma_ca,0,35,0.978365,0.071429,0.0
hpgp_csma_ca,15,1,0.0,0.0,0.0
hpgp_csma_ca,15,2,2.5e-05,0.0,0.0
hpgp_csma_ca,15,5,0.001857,0.0,0.0
hpgp_csma_ca,15,10,0.210902,0.0,0.0
hpgp_csma_ca,15,20,0.974687,0.32,0.0
hpgp_csma_ca,15,35,0.982618,0.941429,0.0
hpgp_csma_ca,30,1,0.964874,0.05,0.0
hpgp_csma_ca,30,2,0.972823,0.15,0.0
hpgp_csma_ca,30,5,0.97893,0.57,0.0
hpgp_csma_ca,30,10,0.985261,0.88,0.0
hpgp_csma_ca,30,20,0.987621,0.975,0.0
hpgp_csma_ca,30,35,0.989653,0.997143,0.0
