policy,N0,K,dc_misses,dc_ev_cycles,dg_violations,admitted_sessions,sessions_total
acbs_qwc25,0,1,0,2060,0,20,20
acbs_qwc25,0,2,0,4120,0,40,40
acbs_qwc25,0,5,0,10300,0,100,100
acbs_qwc25,0,10,0,20600,0,200,200
acbs_qwc25,0,20,0,41199,0,400,400
acbs_qwc25,0,35,0,72098,0,700,700
acbs_qwc25,15,1,0,38060,0,20,20
acbs_qwc25,15,2,0,40120,0,40,40
acbs_qwc25,15,5,0,46300,0,100,100
acbs_qwc25,15,10,0,56600,0,200,200
acbs_qwc25,15,20,0,77200,0,400,400
acbs_qwc25,15,35,6,83380,0,460,700
acbs_qwc25,30,1,0,74060,0,20,20
acbs_qwc25,30,2,0,76120,0,40,40
acbs_qwc25,30,5,0,82300,0,100,100
acbs_qwc25,30,10,3,88480,0,160,200
acbs_qwc25,30,20,9,88480,0,160,400
acbs_qwc25,30,35,4,88480,0,160,700
fixed_10pct,0,1,0,2060,0,20,20
fixed_10pct,0,2,0,4120,0,40,40
fixed_10pct,0,5,0,10300,0,100,100
fixed_10pct,0,10,0,20520,0,200,200
fixed_10pct,0,20,0,34995,0,400,400
fixed_10pct,0,35,0,44400,700,700,700
fixed_10pct,15,1,0,38060,0,20,20
fixed_10pct,15,2,0,40120,0,40,40
fixed_10pct,15,5,0,46300,0,100,100
fixed_10pct,15,10,0,56520,0,200,200
fixed_10pct,15,20,0,70988,0,400,400
fixed_10pct,15,35,61865,80416,700,700,700
fixed_10pct,30,1,0,74060,0,20,20
fixed_10pct,30,2,0,76120,0,40,40
fixed_10pct,30,5,0,82300,0,100,100
fixed_10pct,30,10,74974,92520,0,200,200
fixed_10pct,30,20,86662,106990,0,400,400
fixed_10pct,30,35,82277,116402,700,700,700
fixed_25pct,0,1,0,2060,0,20,20
fixed_25pct,0,2,0,4120,0,40,40
fixed_25pct,0,5,0,10300,0,100,100
fixed_25pct,0,10,0,20600,0,200,200
fixed_25pct,0,20,0,41078,0,400,400
fixed_25pct,0,35,0,68099,0,700,700
fixed_25pct,15,1,0,38060,0,20,20
fixed_25pct,15,2,0,40120,0,40,40
fixed_25pct,15,5,0,46300,0,100,100
fixed_25pct,15,10,0,56600,0,200,200
fixed_25pct,15,20,0,77080,0,400,400
fixed_25pct,15,35,96082,104107,0,700,700
fixed_25pct,30,1,0,74060,0,20,20
fixed_25pct,30,2,0,76120,0,40,40
fixed_25pct,30,5,0,82300,0,100,100
fixed_25pct,30,10,75694,92600,0,200,200
fixed_25pct,30,20,104019,113080,0,400,400
fixed_25pct,30,35,135265,140099,0,700,700
fixed_50pct,0,1,0,2060,0,20,20
fixed_50pct,0,2,0,4120,0,40,40
fixed_50pct,0,5,0,10300,0,100,100
fixed_50pct,0,10,0,20600,0,200,200
fixed_50pct,0,20,0,41200,0,400,400
fixed_50pct,0,35,0,71958,0,700,700
fixed_50pct,15,1,0,38060,0,20,20
fixed_50pct,15,2,0,40120,0,40,40
fixed_50pct,15,5,0,46300,0,100,100
fixed_50pct,15,10,0,56600,0,200,200
fixed_50pct,15,20,0,77200,0,400,400
fixed_50pct,15,35,102025,107959,0,700,700
fixed_50pct,30,1,0,74060,0,20,20
fixed_50pct,30,2,0,76120,0,40,40
fixed_50pct,30,5,0,82300,0,100,100
fixed_50pct,30,10,75694,92600,0,200,200
fixed_50pct,30,20,105532,113200,0,400,400
fixed_50pct,30,35,143287,143960,0,700,700
hpgp_csma_ca,0,1,0,2060,0,20,20
hpgp_csma_ca,0,2,0,4120,0,40,40
hpgp_csma_ca,0,5,0,10300,0,100,100
hpgp_csma_ca,0,10,0,20600,0,200,200
hpgp_csma_ca,0,20,94,41200,0,400,400
hpgp_csma_ca,0,35,64125,65543,50,700,700
hpgp_csma_ca,15,1,0,38060,0,20,20
hpgp_csma_ca,15,2,1,40120,0,40,40
hpgp_csma_ca,15,5,86,46300,0,100,100
hpgp_csma_ca,15,10,11936,56595,0,200,200
hpgp_csma_ca,15,20,67539,69293,128,400,400
hpgp_csma_ca,15,35,70890,72144,659,700,700
hpgp_csma_ca,30,1,71310,73906,1,20,20
hpgp_csma_ca,30,2,73526,75580,6,40,40
hpgp_csma_ca,30,5,77868,79544,57,100,100
hpgp_csma_ca,30,10,83423,84671,176,200,200
hpgp_csma_ca,30,20,87757,88857,390,400,400
hpgp_csma_ca,30,35,89621,90558,698,700,700
