N,K,regime,max_response_end,last_frame_end,T_sched
1,0,hidden,337,337,1395
1,1,hidden,337,337,1395
1,2,hidden,337,337,1395
1,3,hidden,337,337,1395
1,4,hidden,337,337,1395
1,5,hidden,337,337,1395
1,6,hidden,337,337,1395
1,7,hidden,337,337,1395
1,8,hidden,337,337,1395
1,9,hidden,337,337,1395
1,10,hidden,337,337,1395
1,11,hidden,337,337,1395
1,12,hidden,337,337,1395
1,13,hidden,337,337,1395
1,14,hidden,337,337,1395
1,15,hidden,337,337,1395
1,16,hidden,337,337,1395
1,17,hidden,337,337,1395
1,18,hidden,337,337,1395
1,19,hidden,337,337,1395
1,20,hidden,337,337,1395
2,0,hidden,358,358,1395
2,1,hidden,358,358,1395
2,2,hidden,358,358,1395
2,3,hidden,358,358,1395
2,4,hidden,358,358,1395
2,5,hidden,358,358,1395
2,6,hidden,358,358,1395
2,7,hidden,358,358,1395
2,8,hidden,358,358,1395
2,9,hidden,358,358,1395
2,10,hidden,358,358,1395
2,11,hidden,358,358,1395
2,12,hidden,358,358,1395
2,13,hidden,358,358,1395
2,14,hidden,358,358,1395
2,15,hidden,358,358,1395
2,16,hidden,358,358,1395
2,17,hidden,358,358,1395
2,18,hidden,358,358,1395
2,19,hidden,358,358,1395
2,20,hidden,358,358,1395
3,0,hidden,379,379,1395
3,1,hidden,379,379,1395
3,2,hidden,379,379,1395
3,3,hidden,379,379,1395
3,4,hidden,379,379,1395
3,5,hidden,379,379,1395
3,6,hidden,379,379,1395
3,7,hidden,379,379,1395
3,8,hidden,379,379,1395
3,9,hidden,379,379,1395
3,10,hidden,379,379,1395
3,11,hidden,379,379,1395
3,12,hidden,379,379,1395
3,13,hidden,379,379,1395
3,14,hidden,379,379,1395
3,15,hidden,379,379,1395
3,16,hidden,379,379,1395
3,17,hidden,379,379,1395
3,18,hidden,379,379,1395
3,19,hidden,379,379,1395
3,20,hidden,379,379,1395
4,0,hidden,400,400,1395
4,1,hidden,400,400,1395
4,2,hidden,400,400,1395
4,3,hidden,400,400,1395
4,4,hidden,400,400,1395
4,5,hidden,400,400,1395
4,6,hidden,400,400,1395
4,7,hidden,400,400,1395
4,8,hidden,400,400,1395
4,9,hidden,400,400,1395
4,10,hidden,400,400,1395
4,11,hidden,400,400,1395
4,12,hidden,400,400,1395
4,13,hidden,400,400,1395
4,14,hidden,400,400,1395
4,15,hidden,400,400,1395
4,16,hidden,400,400,1395
4,17,hidden,400,400,1395
4,18,hidden,400,400,1395
4,19,hidden,400,400,1395
4,20,hidden,400,400,1395
5,0,hidden,421,421,1395
5,1,hidden,421,421,1395
5,2,hidden,421,421,1395
5,3,hidden,421,421,1395
5,4,hidden,421,421,1395
5,5,hidden,421,421,1395
5,6,hidden,421,421,1395
5,7,hidden,421,421,1395
5,8,hidden,421,421,1395
5,9,hidden,421,421,1395
5,10,hidden,421,421,1395
5,11,hidden,421,421,1395
5,12,hidden,421,421,1395
5,13,hidden,421,421,1395
5,14,hidden,421,421,1395
5,15,hidden,421,421,1395
5,16,hidden,421,421,1395
5,17,hidden,421,421,1395
5,18,hidden,421,421,1395
5,19,hidden,421,421,1395
5,20,hidden,421,421,1395
6,0,hidden,442,442,1395
6,1,hidden,442,442,1395
6,2,hidden,442,442,1395
6,3,hidden,442,442,1395
6,4,hidden,442,442,1395
6,5,hidden,442,442,1395
6,6,hidden,442,442,1395
6,7,hidden,442,442,1395
6,8,hidden,442,442,1395
6,9,hidden,442,442,1395
6,10,hidden,442,442,1395
6,11,hidden,442,442,1395
6,12,hidden,442,442,1395
6,13,hidden,442,442,1395
6,14,hidden,442,442,1395
6,15,hidden,442,442,1395
6,16,hidden,442,442,1395
6,17,hidden,442,442,1395
6,18,hidden,442,442,1395
6,19,hidden,442,442,1395
6,20,hidden,442,442,1395
7,0,hidden,463,463,1395
7,1,hidden,463,463,1395
7,2,hidden,463,463,1395
7,3,hidden,463,463,1395
7,4,hidden,463,463,1395
7,5,hidden,463,463,1395
7,6,hidden,463,463,1395
7,7,hidden,463,463,1395
7,8,hidden,463,463,1395
7,9,hidden,463,463,1395
7,10,hidden,463,463,1395
7,11,hidden,463,463,1395
7,12,hidden,463,463,1395
7,13,hidden,463,463,1395
7,14,hidden,463,463,1395
7,15,hidden,463,463,1395
7,16,hidden,463,463,1395
7,17,hidden,463,463,1395
7,18,hidden,463,463,1395
7,19,hidden,463,463,1395
7,20,hidden,463,463,1395
8,0,hidden,484,484,1395
8,1,hidden,484,484,1395
8,2,hidden,484,484,1395
8,3,hidden,484,484,1395
8,4,hidden,484,484,1395
8,5,hidden,484,484,1395
8,6,hidden,484,484,1395
8,7,hidden,484,484,1395
8,8,hidden,484,484,1395
8,9,hidden,484,484,1395
8,10,hidden,484,484,1395
8,11,hidden,484,484,1395
8,12,hidden,484,484,1395
8,13,hidden,484,484,1395
8,14,hidden,484,484,1395
8,15,hidden,484,484,1395
8,16,hidden,484,484,1395
8,17,hidden,484,484,1395
8,18,hidden,484,484,1395
8,19,hidden,484,484,1395
8,20,hidden,484,484,1395
9,0,hidden,505,505,1395
9,1,hidden,505,505,1395
9,2,hidden,505,505,1395
9,3,hidden,505,505,1395
9,4,hidden,505,505,1395
9,5,hidden,505,505,1395
9,6,hidden,505,505,1395
9,7,hidden,505,505,1395
9,8,hidden,505,505,1395
9,9,hidden,505,505,1395
9,10,hidden,505,505,1395
9,11,hidden,505,505,1395
9,12,hidden,505,505,1395
9,13,hidden,505,505,1395
9,14,hidden,505,505,1395
9,15,hidden,505,505,1395
9,16,hidden,505,505,1395
9,17,hidden,505,505,1395
9,18,hidden,505,505,1395
9,19,hidden,505,505,1395
9,20,paid,506,506,1395
10,0,hidden,526,526,1395
10,1,hidden,526,526,1395
10,2,hidden,526,526,1395
10,3,hidden,526,526,1395
10,4,hidden,526,526,1395
10,5,hidden,526,526,1395
10,6,hidden,526,526,1395
10,7,hidden,526,526,1395
10,8,hidden,526,526,1395
10,9,hidden,526,526,1395
10,10,hidden,526,526,1395
10,11,hidden,526,526,1395
10,12,hidden,526,526,1395
10,13,hidden,526,526,1395
10,14,hidden,526,526,1395
10,15,hidden,526,526,1395
10,16,hidden,526,526,1395
10,17,hidden,526,526,1395
10,18,paid,528,528,1395
10,19,paid,535,535,1395
10,20,paid,542,542,1395
11,0,hidden,547,547,1395
11,1,hidden,547,547,1395
11,2,hidden,547,547,1395
11,3,hidden,547,547,1395
11,4,hidden,547,547,1395
11,5,hidden,547,547,1395
11,6,hidden,547,547,1395
11,7,hidden,547,547,1395
11,8,hidden,547,547,1395
11,9,hidden,547,547,1395
11,10,hidden,547,547,1395
11,11,hidden,547,547,1395
11,12,hidden,547,547,1395
11,13,hidden,547,547,1395
11,14,hidden,547,547,1395
11,15,hidden,547,547,1395
11,16,paid,550,550,1395
11,17,paid,557,557,1395
11,18,paid,564,564,1395
11,19,paid,571,571,1395
11,20,paid,578,578,1395
12,0,hidden,568,568,1395
12,1,hidden,568,568,1395
12,2,hidden,568,568,1395
12,3,hidden,568,568,1395
12,4,hidden,568,568,1395
12,5,hidden,568,568,1395
12,6,hidden,568,568,1395
12,7,hidden,568,568,1395
12,8,hidden,568,568,1395
12,9,hidden,568,568,1395
12,10,hidden,568,568,1395
12,11,hidden,568,568,1395
12,12,hidden,568,568,1395
12,13,hidden,568,568,1395
12,14,paid,572,572,1395
12,15,paid,579,579,1395
12,16,paid,586,586,1395
12,17,paid,593,593,1395
12,18,paid,600,600,1395
12,19,paid,607,607,1395
12,20,paid,614,614,1395
13,0,hidden,589,589,1395
13,1,hidden,589,589,1395
13,2,hidden,589,589,1395
13,3,hidden,589,589,1395
13,4,hidden,589,589,1395
13,5,hidden,589,589,1395
13,6,hidden,589,589,1395
13,7,hidden,589,589,1395
13,8,hidden,589,589,1395
13,9,hidden,589,589,1395
13,10,hidden,589,589,1395
13,11,hidden,589,589,1395
13,12,paid,594,594,1395
13,13,paid,601,601,1395
13,14,paid,608,608,1395
13,15,paid,615,615,1395
13,16,paid,622,622,1395
13,17,paid,629,629,1395
13,18,paid,636,636,1395
13,19,paid,643,643,1395
13,20,paid,650,650,1395
14,0,hidden,610,610,1395
14,1,hidden,610,610,1395
14,2,hidden,610,610,1395
14,3,hidden,610,610,1395
14,4,hidden,610,610,1395
14,5,hidden,610,610,1395
14,6,hidden,610,610,1395
14,7,hidden,610,610,1395
14,8,hidden,610,610,1395
14,9,hidden,610,610,1395
14,10,paid,616,616,1395
14,11,paid,623,623,1395
14,12,paid,630,630,1395
14,13,paid,637,637,1395
14,14,paid,644,644,1395
14,15,paid,651,651,1395
14,16,paid,658,658,1395
14,17,paid,665,665,1395
14,18,paid,672,672,1395
14,19,paid,679,679,1395
14,20,paid,686,686,1395
15,0,hidden,631,631,1395
15,1,hidden,631,631,1395
15,2,hidden,631,631,1395
15,3,hidden,631,631,1395
15,4,hidden,631,631,1395
15,5,hidden,631,631,1395
15,6,hidden,631,631,1395
15,7,hidden,631,631,1395
15,8,paid,638,638,1395
15,9,paid,645,645,1395
15,10,paid,652,652,1395
15,11,paid,659,659,1395
15,12,paid,666,666,1395
15,13,paid,673,673,1395
15,14,paid,680,680,1395
15,15,paid,687,687,1395
15,16,paid,694,694,1395
15,17,paid,701,701,1395
15,18,paid,708,708,1395
15,19,paid,715,715,1395
15,20,paid,722,722,1395
16,0,hidden,652,652,1395
16,1,hidden,652,652,1395
16,2,hidden,652,652,1395
16,3,hidden,652,652,1395
16,4,hidden,652,652,1395
16,5,paid,653,653,1395
16,6,paid,660,660,1395
16,7,paid,667,667,1395
16,8,paid,674,674,1395
16,9,paid,681,681,1395
16,10,paid,688,688,1395
16,11,paid,695,695,1395
16,12,paid,702,702,1395
16,13,paid,709,709,1395
16,14,paid,716,716,1395
16,15,paid,723,723,1395
16,16,paid,730,730,1395
16,17,paid,737,737,1395
16,18,paid,744,744,1395
16,19,paid,751,751,1395
16,20,paid,758,758,1395
17,0,hidden,673,673,1395
17,1,hidden,673,673,1395
17,2,hidden,673,673,1395
17,3,paid,675,675,1395
17,4,paid,682,682,1395
17,5,paid,689,689,1395
17,6,paid,696,696,1395
17,7,paid,703,703,1395
17,8,paid,710,710,1395
17,9,paid,717,717,1395
17,10,paid,724,724,1395
17,11,paid,731,731,1395
17,12,paid,738,738,1395
17,13,paid,745,745,1395
17,14,paid,752,752,1395
17,15,paid,759,759,1395
17,16,paid,766,766,1395
17,17,paid,773,773,1395
17,18,paid,780,780,1395
17,19,paid,787,787,1395
17,20,paid,794,794,1395
18,0,hidden,694,694,1395
18,1,paid,697,697,1395
