N,K,mean_slot_per,bad_sojourn,per_bad,miss_iid,total_iid,miss_burst,total_burst,ratio,envelope_slack_slots,slack_band
37,1,6.7e-05,3,0.05,814,10000,779,10000,0.9570,14,boundary
37,1,6.7e-05,3,0.2,814,10000,616,10000,0.7568,14,boundary
37,1,6.7e-05,3,0.5,814,10000,446,10000,0.5479,14,boundary
37,1,6.7e-05,15,0.05,814,10000,548,10000,0.6732,14,boundary
37,1,6.7e-05,15,0.2,814,10000,237,10000,0.2912,14,boundary
37,1,6.7e-05,15,0.5,814,10000,127,10000,0.1560,14,boundary
37,1,6.7e-05,60,0.05,814,10000,376,10000,0.4619,14,boundary
37,1,6.7e-05,60,0.2,814,10000,150,10000,0.1843,14,boundary
37,1,6.7e-05,60,0.5,814,10000,36,10000,0.0442,14,boundary
37,1,6.7e-05,300,0.05,814,10000,368,10000,0.4521,14,boundary
37,1,6.7e-05,300,0.2,814,10000,111,10000,0.1364,14,boundary
37,1,6.7e-05,300,0.5,814,10000,136,10000,0.1671,14,boundary
37,2,6.7e-05,3,0.05,840,10000,795,10000,0.9464,7,boundary
37,2,6.7e-05,3,0.2,840,10000,610,10000,0.7262,7,boundary
37,2,6.7e-05,3,0.5,840,10000,471,10000,0.5607,7,boundary
37,2,6.7e-05,15,0.05,840,10000,613,10000,0.7298,7,boundary
37,2,6.7e-05,15,0.2,840,10000,280,10000,0.3333,7,boundary
37,2,6.7e-05,15,0.5,840,10000,162,10000,0.1929,7,boundary
37,2,6.7e-05,60,0.05,840,10000,481,10000,0.5726,7,boundary
37,2,6.7e-05,60,0.2,840,10000,192,10000,0.2286,7,boundary
37,2,6.7e-05,60,0.5,840,10000,42,10000,0.0500,7,boundary
37,2,6.7e-05,300,0.05,840,10000,448,10000,0.5333,7,boundary
37,2,6.7e-05,300,0.2,840,10000,138,10000,0.1643,7,boundary
37,2,6.7e-05,300,0.5,840,10000,171,10000,0.2036,7,boundary
36,6,6.7e-05,3,0.05,510,10000,469,10000,0.9196,15,boundary
36,6,6.7e-05,3,0.2,510,10000,362,10000,0.7098,15,boundary
36,6,6.7e-05,3,0.5,510,10000,276,10000,0.5412,15,boundary
36,6,6.7e-05,15,0.05,510,10000,368,10000,0.7216,15,boundary
36,6,6.7e-05,15,0.2,510,10000,171,10000,0.3353,15,boundary
36,6,6.7e-05,15,0.5,510,10000,112,10000,0.2196,15,boundary
36,6,6.7e-05,60,0.05,510,10000,349,10000,0.6843,15,boundary
36,6,6.7e-05,60,0.2,510,10000,147,10000,0.2882,15,boundary
36,6,6.7e-05,60,0.5,510,10000,32,10000,0.0627,15,boundary
36,6,6.7e-05,300,0.05,510,10000,344,10000,0.6745,15,boundary
36,6,6.7e-05,300,0.2,510,10000,107,10000,0.2098,15,boundary
36,6,6.7e-05,300,0.5,510,10000,132,10000,0.2588,15,boundary
36,4,6.7e-05,3,0.05,42,10000,40,10000,0.9524,29,band_1_2
36,4,6.7e-05,3,0.2,42,10000,36,10000,0.8571,29,band_1_2
36,4,6.7e-05,3,0.5,42,10000,52,10000,1.2381,29,band_1_2
36,4,6.7e-05,15,0.05,42,10000,123,10000,2.9286,29,band_1_2
36,4,6.7e-05,15,0.2,42,10000,89,10000,2.1190,29,band_1_2
36,4,6.7e-05,15,0.5,42,10000,58,10000,1.3810,29,band_1_2
36,4,6.7e-05,60,0.05,42,10000,200,10000,4.7619,29,band_1_2
36,4,6.7e-05,60,0.2,42,10000,94,10000,2.2381,29,band_1_2
36,4,6.7e-05,60,0.5,42,10000,21,10000,0.5000,29,band_1_2
36,4,6.7e-05,300,0.05,42,10000,244,10000,5.8095,29,band_1_2
36,4,6.7e-05,300,0.2,42,10000,79,10000,1.8810,29,band_1_2
36,4,6.7e-05,300,0.5,42,10000,93,10000,2.2143,29,band_1_2
35,9,6.7e-05,3,0.05,43,10000,28,10000,0.6512,30,band_1_2
35,9,6.7e-05,3,0.2,43,10000,34,10000,0.7907,30,band_1_2
35,9,6.7e-05,3,0.5,43,10000,21,10000,0.4884,30,band_1_2
35,9,6.7e-05,15,0.05,43,10000,89,10000,2.0698,30,band_1_2
35,9,6.7e-05,15,0.2,43,10000,60,10000,1.3953,30,band_1_2
35,9,6.7e-05,15,0.5,43,10000,38,10000,0.8837,30,band_1_2
35,9,6.7e-05,60,0.05,43,10000,194,10000,4.5116,30,band_1_2
35,9,6.7e-05,60,0.2,43,10000,86,10000,2.0000,30,band_1_2
35,9,6.7e-05,60,0.5,43,10000,21,10000,0.4884,30,band_1_2
35,9,6.7e-05,300,0.05,43,10000,240,10000,5.5814,30,band_1_2
35,9,6.7e-05,300,0.2,43,10000,74,10000,1.7209,30,band_1_2
35,9,6.7e-05,300,0.5,43,10000,93,10000,2.1628,30,band_1_2
36,3,6.7e-05,3,0.05,17,10000,18,10000,1.0588,36,band_1_2
36,3,6.7e-05,3,0.2,17,10000,23,10000,1.3529,36,band_1_2
36,3,6.7e-05,3,0.5,17,10000,22,10000,1.2941,36,band_1_2
36,3,6.7e-05,15,0.05,17,10000,74,10000,4.3529,36,band_1_2
36,3,6.7e-05,15,0.2,17,10000,67,10000,3.9412,36,band_1_2
36,3,6.7e-05,15,0.5,17,10000,39,10000,2.2941,36,band_1_2
36,3,6.7e-05,60,0.05,17,10000,181,10000,10.6471,36,band_1_2
36,3,6.7e-05,60,0.2,17,10000,79,10000,4.6471,36,band_1_2
36,3,6.7e-05,60,0.5,17,10000,18,10000,1.0588,36,band_1_2
36,3,6.7e-05,300,0.05,17,10000,204,10000,12.0000,36,band_1_2
36,3,6.7e-05,300,0.2,17,10000,67,10000,3.9412,36,band_1_2
36,3,6.7e-05,300,0.5,17,10000,83,10000,4.8824,36,band_1_2
36,1,6.7e-05,3,0.05,2,10000,1,10000,0.5000,50,band_2_5
36,1,6.7e-05,3,0.2,2,10000,2,10000,1.0000,50,band_2_5
36,1,6.7e-05,3,0.5,2,10000,1,10000,0.5000,50,band_2_5
36,1,6.7e-05,15,0.05,2,10000,17,10000,8.5000,50,band_2_5
36,1,6.7e-05,15,0.2,2,10000,18,10000,9.0000,50,band_2_5
36,1,6.7e-05,15,0.5,2,10000,8,10000,4.0000,50,band_2_5
36,1,6.7e-05,60,0.05,2,10000,103,10000,51.5000,50,band_2_5
36,1,6.7e-05,60,0.2,2,10000,52,10000,26.0000,50,band_2_5
36,1,6.7e-05,60,0.5,2,10000,10,10000,5.0000,50,band_2_5
36,1,6.7e-05,300,0.05,2,10000,163,10000,81.5000,50,band_2_5
36,1,6.7e-05,300,0.2,2,10000,51,10000,25.5000,50,band_2_5
