bad_sojourn,per_bad,seed,admitted,dg_violations,completed
3,0.05,1,8,0,8
3,0.05,2,8,0,8
3,0.05,3,8,0,8
3,0.05,4,8,0,8
3,0.05,5,8,0,8
3,0.05,6,8,0,8
3,0.05,7,8,0,8
3,0.05,8,8,0,8
3,0.05,9,8,0,8
3,0.05,10,8,0,8
3,0.05,11,8,0,8
3,0.05,12,8,0,8
3,0.05,13,8,0,8
3,0.05,14,8,0,8
3,0.05,15,8,0,8
3,0.05,16,8,0,8
3,0.05,17,8,0,8
3,0.05,18,8,0,8
3,0.05,19,8,0,8
3,0.05,20,8,0,8
3,0.2,1,8,0,8
3,0.2,2,8,0,8
3,0.2,3,8,0,8
3,0.2,4,8,0,8
3,0.2,5,8,0,8
3,0.2,6,8,0,8
3,0.2,7,8,0,8
3,0.2,8,8,0,8
3,0.2,9,8,0,8
3,0.2,10,8,0,8
3,0.2,11,8,0,8
3,0.2,12,8,0,8
3,0.2,13,8,0,8
3,0.2,14,8,0,8
3,0.2,15,8,0,8
3,0.2,16,8,0,8
3,0.2,17,8,0,8
3,0.2,18,8,0,8
3,0.2,19,8,0,8
3,0.2,20,8,0,8
3,0.5,1,8,0,8
3,0.5,2,8,0,8
3,0.5,3,8,0,8
3,0.5,4,8,0,8
3,0.5,5,8,0,8
3,0.5,6,8,0,8
3,0.5,7,8,0,8
3,0.5,8,8,0,8
3,0.5,9,8,0,8
3,0.5,10,8,0,8
3,0.5,11,8,0,8
3,0.5,12,8,0,8
3,0.5,13,8,0,8
3,0.5,14,8,0,8
3,0.5,15,8,0,8
3,0.5,16,8,0,8
3,0.5,17,8,0,8
3,0.5,18,8,0,8
3,0.5,19,8,0,8
3,0.5,20,8,0,8
15,0.05,1,8,0,8
15,0.05,2,8,0,8
15,0.05,3,8,0,8
15,0.05,4,8,0,8
15,0.05,5,8,0,8
15,0.05,6,8,0,8
15,0.05,7,8,0,8
15,0.05,8,8,0,8
15,0.05,9,8,0,8
15,0.05,10,8,0,8
15,0.05,11,8,0,8
15,0.05,12,8,0,8
15,0.05,13,8,0,8
15,0.05,14,8,0,8
15,0.05,15,8,0,8
15,0.05,16,8,0,8
15,0.05,17,8,0,8
15,0.05,18,8,0,8
15,0.05,19,8,0,8
15,0.05,20,8,0,8
15,0.2,1,8,0,8
15,0.2,2,8,0,8
15,0.2,3,8,0,8
15,0.2,4,8,0,8
15,0.2,5,8,0,8
15,0.2,6,8,0,8
15,0.2,7,8,0,8
15,0.2,8,8,0,8
15,0.2,9,8,0,8
15,0.2,10,8,0,8
15,0.2,11,8,0,8
15,0.2,12,8,0,8
15,0.2,13,8,0,8
15,0.2,14,8,0,8
15,0.2,15,8,0,8
15,0.2,16,8,0,8
15,0.2,17,8,0,8
15,0.2,18,8,0,8
15,0.2,19,8,0,8
15,0.2,20,8,0,8
15,0.5,1,8,0,8
15,0.5,2,8,0,8
15,0.5,3,8,0,8
15,0.5,4,8,0,8
15,0.5,5,8,0,8
15,0.5,6,8,0,8
15,0.5,7,8,0,8
15,0.5,8,8,0,8
15,0.5,9,8,0,8
15,0.5,10,8,0,8
15,0.5,11,8,0,8
15,0.5,12,8,0,8
15,0.5,13,8,0,8
15,0.5,14,8,0,8
15,0.5,15,8,0,8
15,0.5,16,8,0,8
15,0.5,17,8,0,8
15,0.5,18,8,0,8
15,0.5,19,8,0,8
15,0.5,20,8,0,8
60,0.05,1,8,0,8
60,0.05,2,8,0,8
60,0.05,3,8,0,8
60,0.05,4,8,0,8
60,0.05,5,8,0,8
60,0.05,6,8,0,8
60,0.05,7,8,0,8
60,0.05,8,8,0,8
60,0.05,9,8,0,8
60,0.05,10,8,0,8
60,0.05,11,8,0,8
60,0.05,12,8,0,8
60,0.05,13,8,0,8
60,0.05,14,8,0,8
60,0.05,15,8,0,8
60,0.05,16,8,0,8
60,0.05,17,8,0,8
60,0.05,18,8,0,8
60,0.05,19,8,0,8
60,0.05,20,8,0,8
60,0.2,1,8,0,8
60,0.2,2,8,0,8
60,0.2,3,8,0,8
60,0.2,4,8,0,8
60,0.2,5,8,0,8
60,0.2,6,8,0,8
60,0.2,7,8,0,8
60,0.2,8,8,0,8
60,0.2,9,8,0,8
60,0.2,10,8,0,8
60,0.2,11,8,0,8
60,0.2,12,8,0,8
60,0.2,13,8,0,8
60,0.2,14,8,0,8
60,0.2,15,8,0,8
60,0.2,16,8,0,8
60,0.2,17,8,0,8
60,0.2,18,8,0,8
60,0.2,19,8,0,8
60,0.2,20,8,0,8
60,0.5,1,8,0,8
60,0.5,2,8,0,8
60,0.5,3,8,0,8
60,0.5,4,8,0,8
60,0.5,5,8,0,8
60,0.5,6,8,0,8
60,0.5,7,8,0,8
60,0.5,8,8,0,8
60,0.5,9,8,0,8
60,0.5,10,8,0,8
60,0.5,11,8,0,8
60,0.5,12,8,0,8
60,0.5,13,8,0,8
60,0.5,14,8,0,8
60,0.5,15,8,0,8
60,0.5,16,8,0,8
60,0.5,17,8,0,8
60,0.5,18,8,0,8
60,0.5,19,8,0,8
60,0.5,20,8,0,8
300,0.05,1,8,0,8
300,0.05,2,8,0,8
300,0.05,3,8,0,8
300,0.05,4,8,0,8
300,0.05,5,8,0,8
300,0.05,6,8,0,8
300,0.05,7,8,0,8
300,0.05,8,8,0,8
300,0.05,9,8,0,8
300,0.05,10,8,0,8
300,0.05,11,8,0,8
300,0.05,12,8,0,8
300,0.05,13,8,0,8
300,0.05,14,8,0,8
300,0.05,15,8,0,8
300,0.05,16,8,0,8
300,0.05,17,8,0,8
300,0.05,18,8,0,8
300,0.05,19,8,0,8
300,0.05,20,8,0,8
300,0.2,1,8,0,8
300,0.2,2,8,0,8
300,0.2,3,8,0,8
300,0.2,4,8,0,8
300,0.2,5,8,0,8
300,0.2,6,8,0,8
300,0.2,7,8,0,8
300,0.2,8,8,0,8
300,0.2,9,8,0,8
300,0.2,10,8,0,8
300,0.2,11,8,0,8
300,0.2,12,8,0,8
300,0.2,13,8,0,8
300,0.2,14,8,0,8
300,0.2,15,8,0,8
300,0.2,16,8,0,8
300,0.2,17,8,0,8
300,0.2,18,8,0,8
300,0.2,19,8,0,8
300,0.2,20,8,0,8
300,0.5,1,8,0,8
300,0.5,2,8,0,8
300,0.5,3,8,0,8
300,0.5,4,8,0,8
300,0.5,5,8,0,8
300,0.5,6,8,0,8
300,0.5,7,8,0,8
300,0.5,8,8,0,8
300,0.5,9,8,0,8
300,0.5,10,8,0,8
300,0.5,11,8,0,8
300,0.5,12,8,0,8
300,0.5,13,8,0,8
300,0.5,14,8,0,8
300,0.5,15,8,0,8
300,0.5,16,8,0,8
300,0.5,17,8,0,8
300,0.5,18,8,0,8
300,0.5,19,8,0,8
300,0.5,20,8,0,8
