variant,seed,admitted,never_admitted,wait_sum,dg_violations,dg_severe,dg_good,admitted_severe,admitted_good,completed,dc_misses,dc_ev_cycles
count,1,16,0,0,1,1,0,8,8,15,0,2565
count,2,16,0,0,1,1,0,8,8,15,0,2570
count,3,16,0,0,1,1,0,8,8,15,0,2572
count,4,16,0,0,1,1,0,8,8,15,0,2566
count,5,16,0,0,1,1,0,8,8,15,0,2555
count,6,16,0,0,3,3,0,8,8,13,0,2539
count,7,16,0,0,3,3,0,8,8,13,0,2557
count,8,16,0,0,1,1,0,8,8,15,0,2564
count,9,16,0,0,1,1,0,8,8,15,0,2571
count,10,16,0,0,1,1,0,8,8,15,0,2570
count,11,16,0,0,4,4,0,8,8,12,0,2541
count,12,16,0,0,1,1,0,8,8,15,0,2555
count,13,16,0,0,2,2,0,8,8,14,0,2563
count,14,16,0,0,3,3,0,8,8,13,0,2557
count,15,16,0,0,0,0,0,8,8,16,0,2567
count,16,16,0,0,1,1,0,8,8,15,0,2566
count,17,16,0,0,1,1,0,8,8,15,0,2562
count,18,16,0,0,1,1,0,8,8,15,0,2559
count,19,16,0,0,0,0,0,8,8,16,0,2574
count,20,16,0,0,3,3,0,8,8,13,0,2551
link_aware,1,16,0,0,0,0,0,8,8,16,0,2639
link_aware,2,16,0,0,0,0,0,8,8,16,0,2648
link_aware,3,16,0,0,0,0,0,8,8,16,0,2633
link_aware,4,16,0,0,0,0,0,8,8,16,0,2636
link_aware,5,16,0,0,1,1,0,8,8,15,0,2625
link_aware,6,16,0,0,0,0,0,8,8,16,0,2633
link_aware,7,16,0,0,0,0,0,8,8,16,0,2622
link_aware,8,16,0,0,0,0,0,8,8,16,0,2627
link_aware,9,16,0,0,0,0,0,8,8,16,0,2633
link_aware,10,16,0,0,0,0,0,8,8,16,0,2627
link_aware,11,16,0,0,0,0,0,8,8,16,0,2631
link_aware,12,16,0,0,0,0,0,8,8,16,0,2624
link_aware,13,16,0,0,0,0,0,8,8,16,0,2635
link_aware,14,16,0,0,0,0,0,8,8,16,0,2635
link_aware,15,16,0,0,0,0,0,8,8,16,0,2633
link_aware,16,16,0,0,0,0,0,8,8,16,0,2644
link_aware,17,16,0,0,0,0,0,8,8,16,0,2639
link_aware,18,16,0,0,0,0,0,8,8,16,0,2637
link_aware,19,16,0,0,0,0,0,8,8,16,0,2629
link_aware,20,16,0,0,0,0,0,8,8,16,0,2629
