N,K,per_slac,finish_med,finish_p95,finish_max,delta_med,overrun_max,retx_slac_slots,served_slac_slots
1,0,0.0,337,337,337,0,0,0,0
1,1,0.0,337,337,337,0,17,0,1687
1,4,0.0,337,337,337,0,17,0,6725
1,8,0.0,337,337,337,0,16,0,13446
1,16,0.0,337,337,337,0,17,0,26881
2,0,0.0,358,358,358,0,0,0,0
2,1,0.0,358,358,358,0,17,0,1687
2,4,0.0,358,358,358,0,17,0,6725
2,8,0.0,358,358,358,0,16,0,13446
2,16,0.0,358,358,358,0,17,0,26881
3,0,0.0,379,379,379,0,0,0,0
3,1,0.0,379,379,379,0,17,0,1687
3,4,0.0,379,379,379,0,17,0,6725
3,8,0.0,379,379,379,0,16,0,13446
3,16,0.0,379,379,379,0,17,0,26881
4,0,0.0,400,400,400,0,0,0,0
4,1,0.0,400,400,400,0,17,0,1687
4,4,0.0,400,400,400,0,17,0,6725
4,8,0.0,400,400,400,0,16,0,13446
4,16,0.0,400,400,400,0,17,0,26881
5,0,0.0,421,421,421,0,0,0,0
5,1,0.0,421,421,421,0,17,0,1687
5,4,0.0,421,421,421,0,17,0,6725
5,8,0.0,421,421,421,0,16,0,13446
5,16,0.0,421,421,421,0,17,0,26881
6,0,0.0,442,442,442,0,0,0,0
6,1,0.0,442,442,442,0,17,0,1687
6,4,0.0,442,442,442,0,17,0,6725
6,8,0.0,442,442,442,0,16,0,13446
6,16,0.0,442,442,442,0,17,0,26881
7,0,0.0,463,463,463,0,0,0,0
7,1,0.0,463,463,463,0,17,0,1687
7,4,0.0,463,463,463,0,17,0,6725
7,8,0.0,463,463,463,0,16,0,13446
7,16,0.0,463,463,463,0,17,0,26881
8,0,0.0,484,484,484,0,0,0,0
8,1,0.0,484,484,484,0,17,0,1687
8,4,0.0,484,484,484,0,17,0,6725
8,8,0.0,484,484,484,0,16,0,13446
8,16,0.0,484,484,484,0,17,0,26881
9,0,0.0,505,505,505,0,0,0,0
9,1,0.0,505,505,505,0,17,0,1687
9,4,0.0,505,505,505,0,17,0,6725
9,8,0.0,505,505,505,0,16,0,13446
9,16,0.0,505,505,505,0,17,0,26881
10,0,0.0,526,526,526,0,0,0,0
10,1,0.0,526,526,526,0,17,0,1687
10,4,0.0,526,526,526,0,17,0,6725
10,8,0.0,526,526,526,0,16,0,13446
10,16,0.0,526,526,526,0,17,0,26881
11,0,0.0,547,547,547,0,0,0,0
11,1,0.0,547,547,547,0,17,0,1687
11,4,0.0,547,547,547,0,17,0,6725
11,8,0.0,547,547,547,0,16,0,13446
