N,K,IFS,finish_measured,finish_predicted,delta,delta_pred,knee_empirical,knee_predicted
1,0,1,350,350,0,0,0,0
1,1,1,350,350,0,0,17,17
1,4,1,350,350,0,0,16,16
1,8,1,350,350,0,0,14,14
1,16,1,350,350,0,0,11,11
2,0,1,372,372,0,0,0,0
2,1,1,372,372,0,0,17,17
2,4,1,372,372,0,0,16,16
2,8,1,372,372,0,0,14,14
2,16,1,372,372,0,0,11,11
3,0,1,394,394,0,0,0,0
3,1,1,394,394,0,0,17,17
3,4,1,394,394,0,0,16,16
3,8,1,394,394,0,0,14,14
3,16,1,394,394,0,0,11,11
4,0,1,416,416,0,0,0,0
4,1,1,416,416,0,0,17,17
4,4,1,416,416,0,0,16,16
4,8,1,416,416,0,0,14,14
4,16,1,416,416,0,0,11,11
5,0,1,438,438,0,0,0,0
5,1,1,438,438,0,0,17,17
5,4,1,438,438,0,0,16,16
5,8,1,438,438,0,0,14,14
5,16,1,438,438,0,0,11,11
6,0,1,460,460,0,0,0,0
6,1,1,460,460,0,0,17,17
6,4,1,460,460,0,0,16,16
6,8,1,460,460,0,0,14,14
6,16,1,460,460,0,0,11,11
7,0,1,482,482,0,0,0,0
7,1,1,482,482,0,0,17,17
7,4,1,482,482,0,0,16,16
7,8,1,482,482,0,0,14,14
7,16,1,482,482,0,0,11,11
8,0,1,504,504,0,0,0,0
8,1,1,504,504,0,0,17,17
8,4,1,504,504,0,0,16,16
8,8,1,504,504,0,0,14,14
8,16,1,504,504,0,0,11,11
9,0,1,526,526,0,0,0,0
9,1,1,526,526,0,0,17,17
9,4,1,526,526,0,0,16,16
9,8,1,526,526,0,0,14,14
9,16,1,526,526,0,0,11,11
10,0,1,548,548,0,0,0,0
10,1,1,548,548,0,0,17,17
10,4,1,548,548,0,0,16,16
10,8,1,548,548,0,0,14,14
10,16,1,548,548,0,0,11,11
11,0,1,570,570,0,0,0,0
11,1,1,570,570,0,0,17,17
11,4,1,570,570,0,0,16,16
11,8,1,570,570,0,0,14,14
11,16,1,585,585,15,15,11,11
12,0,1,592,592,0,0,0,0
12,1,1,592,592,0,0,17,17
12,4,1,592,592,0,0,16,16
12,8,1,592,592,0,0,14,14
12,16,1,623,623,31,31,11,11
13,0,1,614,614,0,0,0,0
13,1,1,614,614,0,0,17,17
13,4,1,614,614,0,0,16,16
13,8,1,614,614,0,0,14,14
13,16,1,661,661,47,47,11,11
14,0,1,636,636,0,0,0,0
14,1,1,636,636,0,0,17,17
14,4,1,636,636,0,0,16,16
14,8,1,643,643,7,7,14,14
14,16,1,699,699,63,63,11,11
15,0,1,658,658,0,0,0,0
15,1,1,658,658,0,0,17,17
15,4,1,658,658,0,0,16,16
15,8,1,681,681,23,23,14,14
15,16,1,737,737,79,79,11,11
16,0,1,680,680,0,0,0,0
16,1,1,680,680,0,0,17,17
16,4,1,691,691,11,11,16,16
16,8,1,719,719,39,39,14,14
16,16,1,775,775,95,95,11,11
17,0,1,702,702,0,0,0,0
17,1,1,708,708,6,6,17,17
17,4,1,729,729,27,27,16,16
17,8,1,757,757,55,55,14,14
17,16,1,813,813,111,111,11,11
18,0,1,724,724,0,0,0,0
18,1,1,746,746,22,22,17,17
18,4,1,767,767,43,43,16,16
18,8,1,795,795,71,71,14,14
18,16,1,851,851,127,127,11,11
19,0,1,755,755,0,0,0,0
19,1,1,784,784,29,29,17,17
19,4,1,805,805,50,50,16,16
19,8,1,833,833,78,78,14,14
19,16,1,889,889,134,134,11,11
20,0,1,793,793,0,0,0,0
20,1,1,822,822,29,29,17,17
20,4,1,843,843,50,50,16,16
20,8,1,871,871,78,78,14,14
20,16,1,927,927,134,134,11,11
21,0,1,831,831,0,0,0,0
21,1,1,860,860,29,29,17,17
21,4,1,881,881,50,50,16,16
21,8,1,909,909,78,78,14,14
21,16,1,965,965,134,134,11,11
22,0,1,869,869,0,0,0,0
22,1,1,898,898,29,29,17,17
22,4,1,919,919,50,50,16,16
22,8,1,947,947,78,78,14,14
22,16,1,1003,1003,134,134,11,11
23,0,1,907,907,0,0,0,0
23,1,1,936,936,29,29,17,17
23,4,1,957,957,50,50,16,16
23,8,1,985,985,78,78,14,14
23,16,1,1041,1041,134,134,11,11
24,0,1,945,945,0,0,0,0
24,1,1,974,974,29,29,17,17
24,4,1,995,995,50,50,16,16
24,8,1,1023,1023,78,78,14,14
24,16,1,1079,1079,134,134,11,11
25,0,1,983,983,0,0,0,0
25,1,1,1012,1012,29,29,17,17
25,4,1,1033,1033,50,50,16,16
25,8,1,1061,1061,78,78,14,14
25,16,1,1117,1117,134,134,11,11
26,0,1,1021,1021,0,0,0,0
26,1,1,1050,1050,29,29,17,17
26,4,1,1071,1071,50,50,16,16
26,8,1,1099,1099,78,78,14,14
26,16,1,1155,1155,134,134,11,11
27,0,1,1059,1059,0,0,0,0
27,1,1,1088,1088,29,29,17,17
27,4,1,1109,1109,50,50,16,16
27,8,1,1137,1137,78,78,14,14
27,16,1,1193,1193,134,134,11,11
28,0,1,1097,1097,0,0,0,0
28,1,1,1126,1126,29,29,17,17
28,4,1,1147,1147,50,50,16,16
28,8,1,1175,1175,78,78,14,14
28,16,1,1231,1231,134,134,11,11
29,0,1,1135,1135,0,0,0,0
29,1,1,1164,1164,29,29,17,17
29,4,1,1185,1185,50,50,16,16
29,8,1,1213,1213,78,78,14,14
29,16,1,1269,1269,134,134,11,11
30,0,1,1173,1173,0,0,0,0
30,1,1,1202,1202,29,29,17,17
30,4,1,1223,1223,50,50,16,16
30,8,1,1251,1251,78,78,14,14
30,16,1,1307,1307,134,134,11,11
31,0,1,1211,1211,0,0,0,0
31,1,1,1240,1240,29,29,17,17
31,4,1,1261,1261,50,50,16,16
31,8,1,1289,1289,78,78,14,14
31,16,1,1345,1345,134,134,11,11
32,0,1,1249,1249,0,0,0,0
32,1,1,1278,1278,29,29,17,17
32,4,1,1299,1299,50,50,16,16
32,8,1,1327,1327,78,78,14,14
32,16,1,1383,1383,134,134,11,11
33,0,1,1287,1287,0,0,0,0
33,1,1,1316,1316,29,29,17,17
33,4,1,1337,1337,50,50,16,16
33,8,1,1365,1365,78,78,14,14
33,16,1,1421,1421,134,134,11,11
34,0,1,1325,1325,0,0,0,0
34,1,1,1354,1354,29,29,17,17
34,4,1,1375,1375,50,50,16,16
34,8,1,1403,1403,78,78,14,14
34,16,1,1459,1459,134,134,11,11
35,0,1,1363,1363,0,0,0,0
35,1,1,1392,1392,29,29,17,17
35,4,1,1413,1413,50,50,16,16
35,8,1,1441,1441,78,78,14,14
35,16,1,1497,1497,134,134,11,11
36,0,1,1401,1401,0,0,0,0
36,1,1,1430,1430,29,29,17,17
36,4,1,1451,1451,50,50,16,16
36,8,1,1479,1479,78,78,14,14
36,16,1,1535,1535,134,134,11,11
37,0,1,1439,1439,0,0,0,0
37,1,1,1468,1468,29,29,17,17
37,4,1,1489,1489,50,50,16,16
37,8,1,1517,1517,78,78,14,14
37,16,1,1573,1573,134,134,11,11
38,0,1,1477,1477,0,0,0,0
38,1,1,1506,1506,29,29,17,17
38,4,1,1527,1527,50,50,16,16
38,8,1,1555,1555,78,78,14,14
38,16,1,1611,1611,134,134,11,11
39,0,1,1515,1515,0,0,0,0
39,1,1,1544,1544,29,29,17,17
39,4,1,1565,1565,50,50,16,16
39,8,1,1593,1593,78,78,14,14
39,16,1,1649,1649,134,134,11,11
40,0,1,1553,1553,0,0,0,0
40,1,1,1582,1582,29,29,17,17
40,4,1,1603,1603,50,50,16,16
40,8,1,1631,1631,78,78,14,14
40,16,1,1687,1687,134,134,11,11
1,0,2,351,351,0,0,0,0
1,1,2,351,351,0,0,16,16
1,4,2,351,351,0,0,15,15
1,8,2,351,351,0,0,13,13
1,16,2,351,351,0,0,10,10
2,0,2,374,374,0,0,0,0
2,1,2,374,374,0,0,16,16
2,4,2,374,374,0,0,15,15
2,8,2,374,374,0,0,13,13
2,16,2,374,374,0,0,10,10
3,0,2,397,397,0,0,0,0
3,1,2,397,397,0,0,16,16
3,4,2,397,397,0,0,15,15
3,8,2,397,397,0,0,13,13
3,16,2,397,397,0,0,10,10
4,0,2,420,420,0,0,0,0
4,1,2,420,420,0,0,16,16
4,4,2,420,420,0,0,15,15
4,8,2,420,420,0,0,13,13
4,16,2,420,420,0,0,10,10
5,0,2,443,443,0,0,0,0
5,1,2,443,443,0,0,16,16
5,4,2,443,443,0,0,15,15
5,8,2,443,443,0,0,13,13
5,16,2,443,443,0,0,10,10
6,0,2,466,466,0,0,0,0
6,1,2,466,466,0,0,16,16
6,4,2,466,466,0,0,15,15
6,8,2,466,466,0,0,13,13
6,16,2,466,466,0,0,10,10
7,0,2,489,489,0,0,0,0
7,1,2,489,489,0,0,16,16
7,4,2,489,489,0,0,15,15
7,8,2,489,489,0,0,13,13
7,16,2,489,489,0,0,10,10
8,0,2,512,512,0,0,0,0
8,1,2,512,512,0,0,16,16
8,4,2,512,512,0,0,15,15
8,8,2,512,512,0,0,13,13
8,16,2,512,512,0,0,10,10
9,0,2,535,535,0,0,0,0
9,1,2,535,535,0,0,16,16
9,4,2,535,535,0,0,15,15
9,8,2,535,535,0,0,13,13
9,16,2,535,535,0,0,10,10
10,0,2,558,558,0,0,0,0
10,1,2,558,558,0,0,16,16
10,4,2,558,558,0,0,15,15
10,8,2,558,558,0,0,13,13
10,16,2,568,568,10,10,10,10
11,0,2,581,581,0,0,0,0
11,1,2,581,581,0,0,16,16
11,4,2,581,581,0,0,15,15
11,8,2,581,581,0,0,13,13
11,16,2,608,608,27,27,10,10
12,0,2,604,604,0,0,0,0
12,1,2,604,604,0,0,16,16
12,4,2,604,604,0,0,15,15
12,8,2,604,604,0,0,13,13
12,16,2,648,648,44,44,10,10
13,0,2,627,627,0,0,0,0
13,1,2,627,627,0,0,16,16
13,4,2,627,627,0,0,15,15
13,8,2,632,632,5,5,13,13
13,16,2,688,688,61,61,10,10
14,0,2,650,650,0,0,0,0
14,1,2,650,650,0,0,16,16
14,4,2,650,650,0,0,15,15
14,8,2,672,672,22,22,13,13
14,16,2,728,728,78,78,10,10
15,0,2,673,673,0,0,0,0
15,1,2,673,673,0,0,16,16
15,4,2,684,684,11,11,15,15
15,8,2,712,712,39,39,13,13
15,16,2,768,768,95,95,10,10
16,0,2,696,696,0,0,0,0
16,1,2,703,703,7,7,16,16
16,4,2,724,724,28,28,15,15
16,8,2,752,752,56,56,13,13
16,16,2,808,808,112,112,10,10
17,0,2,719,719,0,0,0,0
17,1,2,743,743,24,24,16,16
17,4,2,764,764,45,45,15,15
17,8,2,792,792,73,73,13,13
17,16,2,848,848,129,129,10,10
18,0,2,753,753,0,0,0,0
18,1,2,783,783,30,30,16,16
18,4,2,804,804,51,51,15,15
18,8,2,832,832,79,79,13,13
18,16,2,888,888,135,135,10,10
19,0,2,793,793,0,0,0,0
19,1,2,823,823,30,30,16,16
19,4,2,844,844,51,51,15,15
19,8,2,872,872,79,79,13,13
19,16,2,928,928,135,135,10,10
