N,K,finish_measured,finish_formula,finish_cycle_builder,delta_ns3,delta_layer1,match
1,0,337,337,337,0,0,1
1,1,337,337,337,0,0,1
1,4,337,337,337,0,0,1
1,8,337,337,337,0,0,1
1,16,337,337,337,0,0,1
2,0,358,358,358,0,0,1
2,1,358,358,358,0,0,1
2,4,358,358,358,0,0,1
2,8,358,358,358,0,0,1
2,16,358,358,358,0,0,1
3,0,379,379,379,0,0,1
3,1,379,379,379,0,0,1
3,4,379,379,379,0,0,1
3,8,379,379,379,0,0,1
3,16,379,379,379,0,0,1
4,0,400,400,400,0,0,1
4,1,400,400,400,0,0,1
4,4,400,400,400,0,0,1
4,8,400,400,400,0,0,1
4,16,400,400,400,0,0,1
5,0,421,421,421,0,0,1
5,1,421,421,421,0,0,1
5,4,421,421,421,0,0,1
5,8,421,421,421,0,0,1
5,16,421,421,421,0,0,1
6,0,442,442,442,0,0,1
6,1,442,442,442,0,0,1
6,4,442,442,442,0,0,1
6,8,442,442,442,0,0,1
6,16,442,442,442,0,0,1
7,0,463,463,463,0,0,1
7,1,463,463,463,0,0,1
7,4,463,463,463,0,0,1
7,8,463,463,463,0,0,1
7,16,463,463,463,0,0,1
8,0,484,484,484,0,0,1
8,1,484,484,484,0,0,1
8,4,484,484,484,0,0,1
8,8,484,484,484,0,0,1
8,16,484,484,484,0,0,1
9,0,505,505,505,0,0,1
9,1,505,505,505,0,0,1
9,4,505,505,505,0,0,1
9,8,505,505,505,0,0,1
9,16,505,505,505,0,0,1
10,0,526,526,526,0,0,1
10,1,526,526,526,0,0,1
10,4,526,526,526,0,0,1
10,8,526,526,526,0,0,1
10,16,526,526,526,0,0,1
11,0,547,547,547,0,0,1
11,1,547,547,547,0,0,1
11,4,547,547,547,0,0,1
11,8,547,547,547,0,0,1
11,16,550,550,550,3,3,1
12,0,568,568,568,0,0,1
12,1,568,568,568,0,0,1
12,4,568,568,568,0,0,1
12,8,568,568,568,0,0,1
12,16,586,586,586,18,18,1
13,0,589,589,589,0,0,1
13,1,589,589,589,0,0,1
13,4,589,589,589,0,0,1
13,8,589,589,589,0,0,1
13,16,622,622,622,33,33,1
14,0,610,610,610,0,0,1
14,1,610,610,610,0,0,1
14,4,610,610,610,0,0,1
14,8,610,610,610,0,0,1
14,16,658,658,658,48,48,1
15,0,631,631,631,0,0,1
15,1,631,631,631,0,0,1
15,4,631,631,631,0,0,1
15,8,638,638,638,7,7,1
15,16,694,694,694,63,63,1
16,0,652,652,652,0,0,1
16,1,652,652,652,0,0,1
16,4,652,652,652,0,0,1
16,8,674,674,674,22,22,1
16,16,730,730,730,78,78,1
17,0,673,673,673,0,0,1
17,1,673,673,673,0,0,1
17,4,682,682,682,9,9,1
17,8,710,710,710,37,37,1
17,16,766,766,766,93,93,1
18,0,694,694,694,0,0,1
18,1,697,697,697,3,3,1
18,4,718,718,718,24,24,1
18,8,746,746,746,52,52,1
18,16,802,802,802,108,108,1
19,0,715,715,715,0,0,1
19,1,733,733,733,18,18,1
19,4,754,754,754,39,39,1
19,8,782,782,782,67,67,1
19,16,838,838,838,123,123,1
20,0,741,741,741,0,0,1
20,1,769,769,769,28,28,1
20,4,790,790,790,49,49,1
20,8,818,818,818,77,77,1
20,16,874,874,874,133,133,1
21,0,777,777,777,0,0,1
21,1,805,805,805,28,28,1
21,4,826,826,826,49,49,1
21,8,854,854,854,77,77,1
21,16,910,910,910,133,133,1
22,0,813,813,813,0,0,1
22,1,841,841,841,28,28,1
22,4,862,862,862,49,49,1
22,8,890,890,890,77,77,1
22,16,946,946,946,133,133,1
23,0,849,849,849,0,0,1
23,1,877,877,877,28,28,1
23,4,898,898,898,49,49,1
23,8,926,926,926,77,77,1
23,16,982,982,982,133,133,1
24,0,885,885,885,0,0,1
24,1,913,913,913,28,28,1
24,4,934,934,934,49,49,1
24,8,962,962,962,77,77,1
24,16,1018,1018,1018,133,133,1
25,0,921,921,921,0,0,1
25,1,949,949,949,28,28,1
25,4,970,970,970,49,49,1
25,8,998,998,998,77,77,1
25,16,1054,1054,1054,133,133,1
26,0,957,957,957,0,0,1
26,1,985,985,985,28,28,1
