variant,seed,admitted,never_admitted,wait_sum,dg_violations,dg_severe,dg_good,admitted_severe,admitted_good,completed,dc_misses,dc_ev_cycles
count,1,16,0,0,1,1,0,8,8,15,0,2565
count,2,16,0,0,1,1,0,8,8,15,0,2570
count,3,16,0,0,1,1,0,8,8,15,0,2572
count,4,16,0,0,1,1,0,8,8,15,0,2566
count,5,16,0,0,1,1,0,8,8,15,0,2555
count,6,16,0,0,3,3,0,8,8,13,0,2539
count,7,16,0,0,3,3,0,8,8,13,0,2557
count,8,16,0,0,1,1,0,8,8,15,0,2564
count,9,16,0,0,1,1,0,8,8,15,0,2571
count,10,16,0,0,1,1,0,8,8,15,0,2570
count,11,16,0,0,4,4,0,8,8,12,0,2541
count,12,16,0,0,1,1,0,8,8,15,0,2555
count,13,16,0,0,2,2,0,8,8,14,0,2563
count,14,16,0,0,3,3,0,8,8,13,0,2557
count,15,16,0,0,0,0,0,8,8,16,0,2567
count,16,16,0,0,1,1,0,8,8,15,0,2566
count,17,16,0,0,1,1,0,8,8,15,0,2562
count,18,16,0,0,1,1,0,8,8,15,0,2559
count,19,16,0,0,0,0,0,8,8,16,0,2574
count,20,16,0,0,3,3,0,8,8,13,0,2551
count,21,16,0,0,2,2,0,8,8,14,0,2559
count,22,16,0,0,0,0,0,8,8,16,0,2571
count,23,16,0,0,1,1,0,8,8,15,0,2564
count,24,16,0,0,0,0,0,8,8,16,0,2559
count,25,16,0,0,1,1,0,8,8,15,0,2560
count,26,16,0,0,0,0,0,8,8,16,0,2577
count,27,16,0,0,1,1,0,8,8,15,0,2566
count,28,16,0,0,1,1,0,8,8,15,0,2574
count,29,16,0,0,2,2,0,8,8,14,0,2559
count,30,16,0,0,2,2,0,8,8,14,0,2564
count,31,16,0,0,1,1,0,8,8,15,0,2555
count,32,16,0,0,1,1,0,8,8,15,0,2568
count,33,16,0,0,1,1,0,8,8,15,0,2551
count,34,16,0,0,2,2,0,8,8,14,0,2552
count,35,16,0,0,2,2,0,8,8,14,0,2558
count,36,16,0,0,1,1,0,8,8,15,0,2572
count,37,16,0,0,1,1,0,8,8,15,0,2565
count,38,16,0,0,1,1,0,8,8,15,0,2557
count,39,16,0,0,3,3,0,8,8,13,0,2541
count,40,16,0,0,1,1,0,8,8,15,0,2567
count,41,16,0,0,4,4,0,8,8,12,0,2542
count,42,16,0,0,0,0,0,8,8,16,0,2569
count,43,16,0,0,1,1,0,8,8,15,0,2552
count,44,16,0,0,1,1,0,8,8,15,0,2561
count,45,16,0,0,0,0,0,8,8,16,0,2571
count,46,16,0,0,1,1,0,8,8,15,0,2565
count,47,16,0,0,2,2,0,8,8,14,0,2555
count,48,16,0,0,1,1,0,8,8,15,0,2566
count,49,16,0,0,0,0,0,8,8,16,0,2575
count,50,16,0,0,2,2,0,8,8,14,0,2553
count,51,16,0,0,3,3,0,8,8,13,0,2554
count,52,16,0,0,1,1,0,8,8,15,0,2563
count,53,16,0,0,1,1,0,8,8,15,0,2556
count,54,16,0,0,2,2,0,8,8,14,0,2560
count,55,16,0,0,1,1,0,8,8,15,0,2564
count,56,16,0,0,1,1,0,8,8,15,0,2561
count,57,16,0,0,2,2,0,8,8,14,0,2556
count,58,16,0,0,1,1,0,8,8,15,0,2556
count,59,16,0,0,0,0,0,8,8,16,0,2574
count,60,16,0,0,0,0,0,8,8,16,0,2574
count,61,16,0,0,2,2,0,8,8,14,0,2558
count,62,16,0,0,1,1,0,8,8,15,0,2569
count,63,16,0,0,2,2,0,8,8,14,0,2565
count,64,16,0,0,1,1,0,8,8,15,0,2563
count,65,16,0,0,3,3,0,8,8,13,0,2544
count,66,16,0,0,2,2,0,8,8,14,0,2558
count,67,16,0,0,1,1,0,8,8,15,0,2569
count,68,16,0,0,2,2,0,8,8,14,0,2560
count,69,16,0,0,1,1,0,8,8,15,0,2560
count,70,16,0,0,1,1,0,8,8,15,0,2554
count,71,16,0,0,1,1,0,8,8,15,0,2566
count,72,16,0,0,1,1,0,8,8,15,0,2567
count,73,16,0,0,3,3,0,8,8,13,0,2549
count,74,16,0,0,2,2,0,8,8,14,0,2552
count,75,16,0,0,2,2,0,8,8,14,0,2555
count,76,16,0,0,1,1,0,8,8,15,0,2561
count,77,16,0,0,0,0,0,8,8,16,0,2569
count,78,16,0,0,1,1,0,8,8,15,0,2566
count,79,16,0,0,1,1,0,8,8,15,0,2564
count,80,16,0,0,2,2,0,8,8,14,0,2545
count,81,16,0,0,2,2,0,8,8,14,0,2547
count,82,16,0,0,3,3,0,8,8,13,0,2540
count,83,16,0,0,1,1,0,8,8,15,0,2560
count,84,16,0,0,1,1,0,8,8,15,0,2564
count,85,16,0,0,2,2,0,8,8,14,0,2554
count,86,16,0,0,1,1,0,8,8,15,0,2551
count,87,16,0,0,1,1,0,8,8,15,0,2561
count,88,16,0,0,3,3,0,8,8,13,0,2549
count,89,16,0,0,1,1,0,8,8,15,0,2565
count,90,16,0,0,2,2,0,8,8,14,0,2555
count,91,16,0,0,1,1,0,8,8,15,0,2553
count,92,16,0,0,2,2,0,8,8,14,0,2547
count,93,16,0,0,2,2,0,8,8,14,0,2553
count,94,16,0,0,1,1,0,8,8,15,0,2570
count,95,16,0,0,1,1,0,8,8,15,0,2570
count,96,16,0,0,2,2,0,8,8,14,0,2552
count,97,16,0,0,1,1,0,8,8,15,0,2563
count,98,16,0,0,2,2,0,8,8,14,0,2551
count,99,16,0,0,1,1,0,8,8,15,0,2559
count,100,16,0,0,1,1,0,8,8,15,0,2566
