N,K,per_slac,per_dc,finish_med,finish_p95,finish_max,overrun_max,retx_slac_slots,retx_dc_slots,served_slac_slots,miss_cycles,total_cycles,worst_response,occ_med,occ_max
1,0,0,0,337,337,337,0,0,0,0,0,1000,316,0,0
1,1,0,0,337,337,337,17,0,0,7285,0,1000,316,11,18
1,4,0,0,337,337,337,17,0,0,29124,0,1000,316,24,43
1,8,0,0,337,337,337,17,0,0,58243,0,1000,316,57,72
1,16,0,0,337,337,337,17,0,0,116484,0,1000,316,112,126
2,0,0,0,358,358,358,0,0,0,0,0,1000,337,0,0
2,1,0,0,358,358,358,17,0,0,7285,0,1000,337,11,18
2,4,0,0,358,358,358,17,0,0,29124,0,1000,337,24,43
2,8,0,0,358,358,358,17,0,0,58243,0,1000,337,57,72
2,16,0,0,358,358,358,17,0,0,116484,0,1000,337,112,126
3,0,0,0,379,379,379,0,0,0,0,0,1000,358,0,0
3,1,0,0,379,379,379,17,0,0,7285,0,1000,358,11,18
3,4,0,0,379,379,379,17,0,0,29124,0,1000,358,24,43
3,8,0,0,379,379,379,17,0,0,58243,0,1000,358,57,72
3,16,0,0,379,379,379,17,0,0,116484,0,1000,358,112,126
4,0,0,0,400,400,400,0,0,0,0,0,1000,379,0,0
4,1,0,0,400,400,400,17,0,0,7285,0,1000,379,11,18
4,4,0,0,400,400,400,17,0,0,29124,0,1000,379,24,43
4,8,0,0,400,400,400,17,0,0,58243,0,1000,379,57,72
4,16,0,0,400,400,400,17,0,0,116484,0,1000,379,112,126
5,0,0,0,421,421,421,0,0,0,0,0,1000,400,0,0
5,1,0,0,421,421,421,17,0,0,7285,0,1000,400,11,18
5,4,0,0,421,421,421,17,0,0,29124,0,1000,400,24,43
5,8,0,0,421,421,421,17,0,0,58243,0,1000,400,57,72
5,16,0,0,421,421,421,17,0,0,116484,0,1000,400,112,126
6,0,0,0,442,442,442,0,0,0,0,0,1000,421,0,0
6,1,0,0,442,442,442,17,0,0,7285,0,1000,421,11,18
6,4,0,0,442,442,442,17,0,0,29124,0,1000,421,24,43
6,8,0,0,442,442,442,17,0,0,58243,0,1000,421,57,72
6,16,0,0,442,442,442,17,0,0,116484,0,1000,421,112,126
7,0,0,0,463,463,463,0,0,0,0,0,1000,442,0,0
7,1,0,0,463,463,463,17,0,0,7285,0,1000,442,11,18
7,4,0,0,463,463,463,17,0,0,29124,0,1000,442,24,43
7,8,0,0,463,463,463,17,0,0,58243,0,1000,442,57,72
7,16,0,0,463,463,463,17,0,0,116484,0,1000,442,112,126
8,0,0,0,484,484,484,0,0,0,0,0,1000,463,0,0
8,1,0,0,484,484,484,17,0,0,7285,0,1000,463,11,18
8,4,0,0,484,484,484,17,0,0,29124,0,1000,463,24,43
8,8,0,0,484,484,484,17,0,0,58243,0,1000,463,57,72
8,16,0,0,484,484,484,17,0,0,116484,0,1000,463,112,126
9,0,0,0,505,505,505,0,0,0,0,0,1000,484,0,0
9,1,0,0,505,505,505,17,0,0,7285,0,1000,484,11,18
9,4,0,0,505,505,505,17,0,0,29124,0,1000,484,24,43
9,8,0,0,505,505,505,17,0,0,58243,0,1000,484,57,72
9,16,0,0,505,505,505,17,0,0,116484,0,1000,484,112,126
10,0,0,0,526,526,526,0,0,0,0,0,1000,505,0,0
10,1,0,0,526,526,526,17,0,0,7285,0,1000,505,11,18
