N,K,per_slac,per_dc,finish_med,finish_p95,finish_max,overrun_max,retx_slac_slots,retx_dc_slots,served_slac_slots,miss_cycles,total_cycles,worst_response,occ_med,occ_max
1,0,0.01,0,337,337,337,0,0,0,0,0,20000,316,0,0
1,1,0.01,0,337,337,337,17,1339,0,145726,0,20000,316,11,18
1,4,0.01,0,337,337,337,17,5722,0,582529,0,20000,316,24,43
1,8,0.01,0,337,337,337,17,12469,0,1164929,0,20000,316,58,73
1,16,0.01,0,337,337,337,17,24206,0,2329688,0,20000,316,113,129
2,0,0.01,0,358,358,358,0,0,0,0,0,20000,337,0,0
2,1,0.01,0,358,358,358,17,1458,0,145745,0,20000,337,11,18
2,4,0.01,0,358,358,358,17,6135,0,582491,0,20000,337,24,43
2,8,0.01,0,358,358,358,17,12073,0,1164908,0,20000,337,58,73
2,16,0.01,0,358,358,358,17,23194,0,2329710,0,20000,337,113,129
3,0,0.01,0,379,379,379,0,0,0,0,0,20000,358,0,0
3,1,0.01,0,379,379,379,17,1473,0,145745,0,20000,358,11,18
3,4,0.01,0,379,379,379,17,5617,0,582506,0,20000,358,24,43
3,8,0.01,0,379,379,379,17,10931,0,1164907,0,20000,358,58,73
3,16,0.01,0,379,379,379,17,23010,0,2329724,0,20000,358,113,129
4,0,0.01,0,400,400,400,0,0,0,0,0,20000,379,0,0
4,1,0.01,0,400,400,400,17,1492,0,145733,0,20000,379,11,18
4,4,0.01,0,400,400,400,17,5665,0,582529,0,20000,379,24,43
4,8,0.01,0,400,400,400,17,11631,0,1164908,0,20000,379,58,73
4,16,0.01,0,400,400,400,17,24270,0,2329701,0,20000,379,113,129
5,0,0.01,0,421,421,421,0,0,0,0,0,20000,400,0,0
5,1,0.01,0,421,421,421,17,1345,0,145744,0,20000,400,11,18
5,4,0.01,0,421,421,421,17,6081,0,582498,0,20000,400,24,43
5,8,0.01,0,421,421,421,17,11700,0,1164913,0,20000,400,58,73
5,16,0.01,0,421,421,421,17,23655,0,2329671,0,20000,400,113,129
6,0,0.01,0,442,442,442,0,0,0,0,0,20000,421,0,0
6,1,0.01,0,442,442,442,17,1367,0,145733,0,20000,421,11,18
6,4,0.01,0,442,442,442,17,6144,0,582525,0,20000,421,24,43
6,8,0.01,0,442,442,442,17,11247,0,1164907,0,20000,421,58,73
6,16,0.01,0,442,442,442,17,23413,0,2329737,0,20000,421,113,129
7,0,0.01,0,463,463,463,0,0,0,0,0,20000,442,0,0
7,1,0.01,0,463,463,463,17,1605,0,145723,0,20000,442,11,18
7,4,0.01,0,463,463,463,17,5128,0,582535,0,20000,442,24,44
7,8,0.01,0,463,463,463,17,12020,0,1164901,0,20000,442,58,72
7,16,0.01,0,463,463,463,17,23143,0,2329706,0,20000,442,113,128
8,0,0.01,0,484,484,484,0,0,0,0,0,20000,463,0,0
8,1,0.01,0,484,484,484,17,1437,0,145738,0,20000,463,11,18
8,4,0.01,0,484,484,484,17,5422,0,582515,0,20000,463,24,43
8,8,0.01,0,484,484,484,17,11713,0,1164924,0,20000,463,58,73
8,16,0.01,0,484,484,484,17,23289,0,2329724,0,20000,463,113,129
9,0,0.01,0,505,505,505,0,0,0,0,0,20000,484,0,0
9,1,0.01,0,505,505,505,17,1517,0,145726,0,20000,484,11,18
9,4,0.01,0,505,505,505,17,6003,0,582527,0,20000,484,24,43
9,8,0.01,0,505,505,505,17,11912,0,1164939,0,20000,484,58,73
9,16,0.01,0,505,505,505,17,23000,0,2329693,0,20000,484,113,129
10,0,0.01,0,526,526,526,0,0,0,0,0,20000,505,0,0
10,1,0.01,0,526,526,526,17,1534,0,145726,0,20000,505,11,18
10,4,0.01,0,526,526,526,17,5973,0,582526,0,20000,505,24,43
10,8,0.01,0,526,526,526,17,11688,0,1164900,0,20000,505,58,73
10,16,0.01,0,526,526,526,17,24002,0,2329715,0,20000,505,113,128
11,0,0.01,0,547,547,547,0,0,0,0,0,20000,526,0,0
11,1,0.01,0,547,547,547,17,1328,0,145719,0,20000,526,11,18
11,4,0.01,0,547,547,547,17,6051,0,582526,0,20000,526,24,43
11,8,0.01,0,547,547,547,17,11844,0,1164911,0,20000,526,58,73
11,16,0.01,0,547,547,547,17,22691,0,2329749,0,20000,526,113,129
12,0,0.01,0,568,568,568,0,0,0,0,0,20000,547,0,0
12,1,0.01,0,568,568,568,17,1462,0,145718,0,20000,547,11,18
12,4,0.01,0,568,568,568,17,6041,0,582516,0,20000,547,24,43
12,8,0.01,0,568,568,568,17,11671,0,1164916,0,20000,547,58,72
12,16,0.01,0,568,573,582,17,24459,0,2329717,0,20000,561,113,129
13,0,0.01,0,589,589,589,0,0,0,0,0,20000,568,0,0
13,1,0.01,0,589,589,589,17,1599,0,145723,0,20000,568,11,18
13,4,0.01,0,589,589,589,17,5889,0,582494,0,20000,568,24,44
13,8,0.01,0,589,589,589,17,11784,0,1164904,0,20000,568,58,73
13,16,0.01,0,602,609,618,17,23895,0,2329727,0,20000,597,113,129
14,0,0.01,0,610,610,610,0,0,0,0,0,20000,589,0,0
14,1,0.01,0,610,610,610,17,1627,0,145727,0,20000,589,11,18
14,4,0.01,0,610,610,610,17,5853,0,582503,0,20000,589,24,44
14,8,0.01,0,610,610,610,17,11255,0,1164923,0,20000,589,58,72
14,16,0.01,0,638,645,654,17,22361,0,2329711,0,20000,633,113,129
15,0,0.01,0,631,631,631,0,0,0,0,0,20000,610,0,0
15,1,0.01,0,631,631,631,17,1495,0,145770,0,20000,610,11,18
15,4,0.01,0,631,631,631,17,5851,0,582506,0,20000,610,24,43
15,8,0.01,0,631,631,634,17,11651,0,1164896,0,20000,613,58,73
15,16,0.01,0,674,681,689,17,22699,0,2329699,0,20000,668,113,128
16,0,0.01,0,652,652,652,0,0,0,0,0,20000,631,0,0
16,1,0.01,0,652,652,652,17,1599,0,145735,0,20000,631,11,18
16,4,0.01,0,652,652,652,17,5402,0,582524,0,20000,631,24,43
16,8,0.01,0,655,661,669,17,11574,0,1164914,0,20000,648,58,72
16,16,0.01,0,710,717,726,17,22827,0,2329721,0,20000,705,113,129
17,0,0.01,0,673,673,673,0,0,0,0,0,20000,652,0,0
17,1,0.01,0,673,673,673,17,1061,0,145743,0,20000,652,11,18
17,4,0.01,0,673,673,676,17,5872,0,582499,0,20000,655,24,43
17,8,0.01,0,691,697,706,17,12110,0,1164930,0,20000,685,58,73
17,16,0.01,0,746,753,762,17,23832,0,2329739,0,20000,741,113,129
18,0,0.01,0,694,694,694,0,0,0,0,0,20000,673,0,0
18,1,0.01,0,694,694,694,17,1652,0,145743,0,20000,673,11,18
18,4,0.01,0,694,705,712,17,5687,0,582492,0,20000,691,24,43
18,8,0.01,0,727,733,742,17,11294,0,1164912,0,20000,721,58,73
18,16,0.01,0,782,789,798,17,23322,0,2329742,0,20000,777,113,129
19,0,0.01,0,715,715,715,0,0,0,0,0,20000,694,0,0
19,1,0.01,0,716,718,723,17,1563,0,145714,0,20000,702,11,18
19,4,0.01,0,729,741,748,17,5827,0,582526,0,20000,727,24,43
19,8,0.01,0,763,769,777,17,11617,0,1164919,0,20000,756,58,72
19,16,0.01,0,818,825,834,17,22596,0,2329721,0,20000,813,113,129
20,0,0.01,0,741,741,741,0,0,0,0,0,20000,720,0,0
20,1,0.01,0,752,754,759,17,1503,0,145738,0,20000,738,11,18
20,4,0.01,0,765,777,785,17,5826,0,582492,0,20000,764,24,44
20,8,0.01,0,799,805,813,17,11282,0,1164940,0,20000,792,58,72
20,16,0.01,0,854,861,870,17,23206,0,2329684,0,20000,849,113,129
21,0,0.01,0,777,777,777,0,0,0,0,0,20000,756,0,0
21,1,0.01,0,788,790,795,17,1392,0,145729,0,20000,774,11,18
21,4,0.01,0,801,813,820,17,5742,0,582524,0,20000,799,24,43
21,8,0.01,0,835,841,849,17,12126,0,1164918,0,20000,828,58,72
21,16,0.01,0,890,897,906,17,23251,0,2329738,0,20000,885,113,129
22,0,0.01,0,813,813,813,0,0,0,0,0,20000,792,0,0
22,1,0.01,0,824,826,831,17,1471,0,145713,0,20000,810,11,18
22,4,0.01,0,837,849,856,17,5440,0,582527,0,20000,835,24,43
22,8,0.01,0,871,877,886,17,11309,0,1164901,0,20000,865,58,73
22,16,0.01,0,926,933,942,17,23576,0,2329727,0,20000,921,113,129
23,0,0.01,0,849,849,849,0,0,0,0,0,20000,828,0,0
23,1,0.01,0,860,862,867,17,1361,0,145734,0,20000,846,11,18
23,4,0.01,0,873,885,893,17,5345,0,582534,0,20000,872,24,44
23,8,0.01,0,907,913,922,17,11578,0,1164899,0,20000,901,58,73
23,16,0.01,0,962,969,978,17,23421,0,2329684,0,20000,957,113,129
24,0,0.01,0,885,885,885,0,0,0,0,0,20000,864,0,0
24,1,0.01,0,896,898,903,17,1472,0,145736,0,20000,882,11,18
24,4,0.01,0,909,921,928,17,5877,0,582529,0,20000,907,24,43
24,8,0.01,0,943,949,958,17,11111,0,1164906,0,20000,937,58,73
24,16,0.01,0,998,1005,1014,17,23645,0,2329710,0,20000,993,113,129
25,0,0.01,0,921,921,921,0,0,0,0,0,20000,900,0,0
25,1,0.01,0,932,934,939,17,1472,0,145739,0,20000,918,11,18
25,4,0.01,0,945,957,964,17,5966,0,582516,0,20000,943,24,43
25,8,0.01,0,979,985,993,17,11220,0,1164934,0,20000,972,58,72
25,16,0.01,0,1034,1041,1050,17,23311,0,2329713,0,20000,1029,113,129
26,0,0.01,0,957,957,957,0,0,0,0,0,20000,936,0,0
26,1,0.01,0,968,970,975,17,1468,0,145733,0,20000,954,11,18
26,4,0.01,0,981,993,1000,17,5358,0,582517,0,20000,979,24,43
26,8,0.01,0,1015,1021,1029,17,11557,0,1164946,0,20000,1008,58,72
26,16,0.01,0,1070,1077,1086,17,22491,0,2329708,0,20000,1065,113,129
27,0,0.01,0,993,993,993,0,0,0,0,0,20000,972,0,0
27,1,0.01,0,1004,1006,1011,17,1452,0,145701,0,20000,990,11,18
27,4,0.01,0,1017,1029,1036,17,6265,0,582498,0,20000,1015,24,43
27,8,0.01,0,1051,1057,1066,17,11878,0,1164951,0,20000,1045,58,73
27,16,0.01,0,1106,1113,1122,17,23735,0,2329725,0,20000,1101,113,129
28,0,0.01,0,1029,1029,1029,0,0,0,0,0,20000,1008,0,0
28,1,0.01,0,1040,1042,1047,17,1303,0,145741,0,20000,1026,11,18
28,4,0.01,0,1053,1065,1072,17,6165,0,582517,0,20000,1051,24,43
28,8,0.01,0,1087,1093,1102,17,11410,0,1164920,0,20000,1081,58,73
28,16,0.01,0,1142,1149,1158,17,22761,0,2329693,0,20000,1137,113,129
29,0,0.01,0,1065,1065,1065,0,0,0,0,0,20000,1044,0,0
29,1,0.01,0,1076,1078,1083,17,1454,0,145718,0,20000,1062,11,18
29,4,0.01,0,1089,1101,1108,17,5459,0,582533,0,20000,1087,24,43
29,8,0.01,0,1123,1128,1138,17,12070,0,1164937,0,20000,1117,58,73
29,16,0.01,0,1178,1185,1193,17,23518,0,2329726,0,20000,1172,113,128
30,0,0.01,0,1101,1101,1101,0,0,0,0,0,20000,1080,0,0
30,1,0.01,0,1112,1114,1119,17,1332,0,145736,0,20000,1098,11,18
