setting,i,message,c_i,r_ms,c_rem,nu,q_req
base,1,SLAC_PARM.REQ,11,0,230,39,6
base,2,SLAC_PARM.CNF,11,15,219,39,6
base,3,START_ATTEN_CHAR.IND.1,11,35,208,39,6
base,4,START_ATTEN_CHAR.IND.2,11,55,197,38,6
base,5,START_ATTEN_CHAR.IND.3,11,75,186,38,5
base,6,MNBC_SOUND.IND.1,12,105,175,37,5
base,7,MNBC_SOUND.IND.2,12,145,163,37,5
base,8,MNBC_SOUND.IND.3,12,185,151,36,5
base,9,MNBC_SOUND.IND.4,12,225,139,35,4
base,10,MNBC_SOUND.IND.5,12,265,127,34,4
base,11,MNBC_SOUND.IND.6,12,305,115,33,4
base,12,MNBC_SOUND.IND.7,12,345,103,33,4
base,13,MNBC_SOUND.IND.8,12,385,91,32,3
base,14,MNBC_SOUND.IND.9,12,425,79,31,3
base,15,MNBC_SOUND.IND.10,12,465,67,30,3
base,16,ATTEN_CHAR.IND,18,535,55,29,2
base,17,ATTEN_CHAR.RSP,12,635,37,27,2
base,18,SLAC_MATCH.REQ,12,755,25,24,2
base,19,SLAC_MATCH.CNF,13,775,13,24,1
nr2,1,SLAC_PARM.REQ,11,0,707,39,19
nr2,2,SLAC_PARM.CNF,11,15,674,39,18
nr2,3,START_ATTEN_CHAR.IND.1,11,35,641,39,17
nr2,4,START_ATTEN_CHAR.IND.2,11,55,608,38,16
nr2,5,START_ATTEN_CHAR.IND.3,11,75,575,38,16
nr2,6,MNBC_SOUND.IND.1,12,105,542,37,15
nr2,7,MNBC_SOUND.IND.2,12,145,506,37,14
nr2,8,MNBC_SOUND.IND.3,12,185,470,36,14
nr2,9,MNBC_SOUND.IND.4,12,225,434,35,13
nr2,10,MNBC_SOUND.IND.5,12,265,398,34,12
nr2,11,MNBC_SOUND.IND.6,12,305,362,33,11
nr2,12,MNBC_SOUND.IND.7,12,345,326,33,10
nr2,13,MNBC_SOUND.IND.8,12,385,290,32,10
nr2,14,MNBC_SOUND.IND.9,12,425,254,31,9
nr2,15,MNBC_SOUND.IND.10,12,465,218,30,8
nr2,16,ATTEN_CHAR.IND,18,535,182,29,7
nr2,17,ATTEN_CHAR.RSP,12,635,128,27,5
nr2,18,SLAC_MATCH.REQ,12,755,92,24,4
nr2,19,SLAC_MATCH.CNF,13,775,56,24,3
nr3,1,SLAC_PARM.REQ,11,0,937,39,25
nr3,2,SLAC_PARM.CNF,11,15,893,39,23
nr3,3,START_ATTEN_CHAR.IND.1,11,35,849,39,22
nr3,4,START_ATTEN_CHAR.IND.2,11,55,805,38,22
nr3,5,START_ATTEN_CHAR.IND.3,11,75,761,38,21
nr3,6,MNBC_SOUND.IND.1,12,105,717,37,20
nr3,7,MNBC_SOUND.IND.2,12,145,669,37,19
nr3,8,MNBC_SOUND.IND.3,12,185,621,36,18
nr3,9,MNBC_SOUND.IND.4,12,225,573,35,17
nr3,10,MNBC_SOUND.IND.5,12,265,525,34,16
nr3,11,MNBC_SOUND.IND.6,12,305,477,33,15
nr3,12,MNBC_SOUND.IND.7,12,345,429,33,13
nr3,13,MNBC_SOUND.IND.8,12,385,381,32,12
nr3,14,MNBC_SOUND.IND.9,12,425,333,31,11
nr3,15,MNBC_SOUND.IND.10,12,465,285,30,10
nr3,16,ATTEN_CHAR.IND,18,535,237,29,9
nr3,17,ATTEN_CHAR.RSP,12,635,165,27,7
nr3,18,SLAC_MATCH.REQ,12,755,117,24,5
nr3,19,SLAC_MATCH.CNF,13,775,69,24,3
