timeline,K,max_elapsed,argmax_session,completion_index,violation_gt40
model,1,33,0,32,0
model,2,33,0,32,0
model,3,34,2,33,0
model,4,35,3,34,0
model,5,35,4,34,0
model,6,36,5,35,0
model,7,36,6,35,0
model,8,36,7,35,0
model,9,35,7,34,0
model,10,36,9,35,0
model,11,36,10,35,0
model,12,37,11,36,0
model,13,37,12,36,0
model,14,37,13,36,0
model,15,37,14,36,0
model,16,36,14,35,0
model,17,37,16,36,0
model,18,37,17,36,0
model,19,37,18,36,0
model,20,37,19,36,0
model,21,38,20,37,0
model,22,38,21,37,0
model,23,37,22,36,0
model,24,37,23,36,0
model,25,38,24,37,0
model,26,38,25,37,0
model,27,38,26,37,0
model,28,38,27,37,0
model,29,38,28,37,0
model,30,37,28,36,0
model,31,38,30,37,0
model,32,38,31,37,0
model,33,38,32,37,0
model,34,38,33,37,0
model,35,38,34,37,0
model,36,38,35,37,0
model,37,37,35,36,0
model,38,38,37,37,0
impl,1,32,0,31,0
impl,2,32,0,31,0
impl,3,33,2,32,0
impl,4,34,3,33,0
impl,5,34,4,33,0
impl,6,35,5,34,0
impl,7,35,6,34,0
impl,8,35,7,34,0
impl,9,34,7,33,0
impl,10,35,9,34,0
impl,11,35,10,34,0
impl,12,36,11,35,0
impl,13,36,12,35,0
impl,14,36,13,35,0
impl,15,36,14,35,0
impl,16,35,14,34,0
impl,17,36,16,35,0
impl,18,36,17,35,0
impl,19,36,18,35,0
impl,20,36,19,35,0
impl,21,37,20,36,0
impl,22,37,21,36,0
impl,23,36,22,35,0
impl,24,36,23,35,0
impl,25,37,24,36,0
impl,26,37,25,36,0
impl,27,37,26,36,0
impl,28,37,27,36,0
impl,29,37,28,36,0
impl,30,36,28,35,0
impl,31,37,30,36,0
impl,32,37,31,36,0
impl,33,37,32,36,0
impl,34,37,33,36,0
impl,35,37,34,36,0
impl,36,37,35,36,0
impl,37,36,35,35,0
impl,38,37,37,36,0
