== staggered 1/cycle | q=7 cap=0 K=15 timeline=model | within-cap demand of session 14: 241 slots | max elapsed 42 cycles (session 14, admitted cycle 14, completed cycle 55) ==
cycle K_active quota allowance consumed debt_in served(argmax)
    0        0     0         0        0       0      0
    1        1     7         7       11       0      0
    2        2    14        10       11       4      0
    3        3    21        20       22       1      0
    4        4    28        26       33       2      0
    5        5    35        28       33       7      0
    6        6    42        37       44       5      0
    7        7    49        42       44       7      0
    8        8    56        54       55       2      0
    9        9    63        62       66       1      0
   10       10    70        66       66       4      0
   11       11    77        77       79       0      0
   12       12    84        82       88       2      0
   13       13    91        85       89       6      0
   14       14    98        94       95       4      0
   15       15   105       104      110       1      0
   16       15   105        99      104       6     22
   17       15   105       100      105       5     22
   18       15   105       100      111       5     33
   19       15   105        94       96      11     33
   20       15   105       103      105       2     33
   21       15   105       103      104       2     55
   22       15   105       104      108       1     55
   23       15   105       101      107       4     66
   24       15   105        99      108       6     66
   25       15   105        96       96       9     66
   26       15   105       105      108       0     90
   27       15   105       102      108       3     90
   28       15   105        99      108       6    102
   29       15   105        96      102       9    102
   30       15   105        99      108       6    102
   31       15   105        96      108       9    126
   32       15   105        93      102      12    126
   33       15   105        96       96       9    138
   34       15   105       105      116       0    138
   35       13    91        80       84      11    138
   36       13    91        87       96       4    162
   37       13    91        82       87       9    162
   38       10    70        65       66       5    162
   39       10    70        69       78       1    162
   40       10    70        61       67       9    186
   41        9    63        57       63       6    186
   42        6    42        36       37       6    186
   43        5    35        34       37       1    186
   44        4    28        25       25       3    186
   45        3    21        21       24       0    186
   46        3    21        18       25       3    186
   47        2    14         7       12       7    186
   48        2    14         9       13       5    186
   49        1     7         3       18       4    204
   50        1     7        -8        0      15    204
   51        1     7        -1        0       8    204
   52        1     7         6       12       1    216
   53        1     7         1       12       6    228
   54        1     7        -4        0      11    228
   55        1     7         3       13       4    241

== staggered 1/cycle | q=7 cap=0 K=15 timeline=impl | within-cap demand of session 14: 241 slots | max elapsed 41 cycles (session 14, admitted cycle 14, completed cycle 54) ==
cycle K_active quota allowance consumed debt_in served(argmax)
    0        1     7         7       11       0      0
    1        2    14        10       11       4      0
    2        3    21        20       22       1      0
    3        4    28        26       33       2      0
    4        5    35        28       33       7      0
    5        6    42        37       44       5      0
    6        7    49        42       44       7      0
    7        8    56        54       55       2      0
    8        9    63        62       66       1      0
    9       10    70        66       66       4      0
   10       11    77        77       79       0      0
   11       12    84        82       88       2      0
   12       13    91        85       89       6      0
   13       14    98        94       95       4      0
   14       15   105       104      110       1      0
   15       15   105        99      104       6     22
   16       15   105       100      105       5     22
   17       15   105       100      111       5     33
   18       15   105        94       96      11     33
   19       15   105       103      105       2     33
   20       15   105       103      104       2     55
   21       15   105       104      108       1     55
   22       15   105       101      107       4     66
   23       15   105        99      108       6     66
   24       15   105        96       96       9     66
   25       15   105       105      108       0     90
   26       15   105       102      108       3     90
   27       15   105        99      108       6    102
   28       15   105        96      102       9    102
   29       15   105        99      108       6    102
   30       15   105        96      108       9    126
   31       15   105        93      102      12    126
   32       15   105        96       96       9    138
   33       15   105       105      116       0    138
