timeline,q,cap,K,period,pattern,victim,max_elapsed,argmax_session,c_actual,within_cap,violation_gt40
model,7,0,2,1,none,,33,0,230,1,0
model,7,0,2,2,none,,33,0,230,1,0
model,7,0,2,3,none,,33,0,230,1,0
model,7,0,2,5,none,,33,0,230,1,0
model,7,0,3,1,none,,34,2,230,1,0
model,7,0,3,2,none,,34,2,230,1,0
model,7,0,3,3,none,,34,1,230,1,0
model,7,0,3,5,none,,34,1,230,1,0
model,7,0,4,1,none,,34,0,230,1,0
model,7,0,4,2,none,,34,2,230,1,0
model,7,0,4,3,none,,34,1,230,1,0
model,7,0,4,5,none,,34,0,230,1,0
model,7,0,5,1,none,,34,1,230,1,0
model,7,0,5,2,none,,34,1,230,1,0
model,7,0,5,3,none,,34,2,230,1,0
model,7,0,5,5,none,,34,0,230,1,0
model,7,0,6,1,none,,34,0,230,1,0
model,7,0,6,2,none,,35,5,230,1,0
model,7,0,6,3,none,,34,0,230,1,0
model,7,0,6,5,none,,34,0,230,1,0
model,7,0,7,1,none,,34,0,230,1,0
model,7,0,7,2,none,,35,6,230,1,0
model,7,0,7,3,none,,35,3,230,1,0
model,7,0,7,5,none,,34,0,230,1,0
model,7,0,8,1,none,,35,7,230,1,0
model,7,0,8,2,none,,35,6,230,1,0
model,7,0,8,3,none,,35,0,230,1,0
model,7,0,8,5,none,,34,0,230,1,0
model,7,0,9,1,none,,34,1,230,1,0
model,7,0,9,2,none,,35,6,230,1,0
model,7,0,9,3,none,,35,5,230,1,0
model,7,0,9,5,none,,34,0,230,1,0
model,7,0,10,1,none,,34,1,230,1,0
model,7,0,10,2,none,,35,6,230,1,0
model,7,0,10,3,none,,35,6,230,1,0
model,7,0,10,5,none,,34,0,230,1,0
model,7,0,11,1,none,,35,1,230,1,0
model,7,0,11,2,none,,35,3,230,1,0
model,7,0,11,3,none,,35,0,230,1,0
model,7,0,11,5,none,,34,0,230,1,0
model,7,0,12,1,none,,35,5,230,1,0
model,7,0,12,2,none,,35,5,230,1,0
model,7,0,12,3,none,,35,0,230,1,0
model,7,0,12,5,none,,34,0,230,1,0
model,7,0,13,1,none,,36,12,230,1,0
model,7,0,13,2,none,,35,6,230,1,0
model,7,0,13,3,none,,35,0,230,1,0
model,7,0,13,5,none,,34,0,230,1,0
model,7,0,14,1,none,,35,4,230,1,0
model,7,0,14,2,none,,35,7,230,1,0
model,7,0,14,3,none,,35,0,230,1,0
model,7,0,14,5,none,,34,0,230,1,0
model,7,0,15,1,none,,36,14,230,1,0
model,7,0,15,2,none,,35,8,230,1,0
model,7,0,15,3,none,,35,0,230,1,0
model,7,0,15,5,none,,34,0,230,1,0
model,7,0,16,1,none,,35,2,230,1,0
